ID,Title,Time,Director,Year,Cast
3432,Saint Street    ,"1 hour, 18 minutes",Rob Diamond,2012,"Mark Webb, Jarrod Phillips"
3433,The Theory of Everything    ,"2 hours, 5 minutes",James Marsh,2014,"Eddie Redmayne, Felicity Jones"
3434,Life of Pi    ,"2 hours, 7 minutes",Ang Lee,2012,"Suraj Sharma, Irrfan Khan"
3435,One Flew Over the Cuckoo's Nest , 135 minutes ,Milos Forman,2011,Jack Nicholson
3436,My Refuge    ,"1 hour, 20 minutes",Jeff Morrison,2013,"Julie Clark, Randy Clark"
3437,In Pursuit Of Honor    ,"1 hour, 50 minutes",Ken Olin,1995,"Don Johnson, Craig Sheffer"
3438,How To Steal A Million    ,"2 hours, 4 minutes",William Wyler,1966,"Audrey Hepburn, Peter O'Toole"
3439,The Thing    ,"1 hour, 50 minutes",John Carpenter,1982,"Kurt Russell, Wilford Brimley"
3440,Don't Pass Me By    ,"1 hour, 32 minutes",Eric Priestley,2014,"Sean Stone, Keith David"
3441,Taken    ,"1 hour, 31 minutes",Pierre Morel,2009,"Liam Neeson, Maggie Grace"
3442,Clouds of Sils Maria    ,"2 hours, 4 minutes",Olivier Assayas,2015,"Juliette Binoche, Kristen Stewart"
3443,The Prestige    ,"2 hours, 11 minutes",Christopher Nolan,2006,"Hugh Jackman, Christian Bale"
3444,War Room   ,0 seconds,Alex Kendrick,2015,"Ashley Bratcher,Ben Davies"
3445,Interview With the Vampire: The Vampire Chronicles    ,"2 hours, 3 minutes",Neil Jordan,1994,"Brad Pitt, Christian Slater"
3446,THE GALLOWS ,,Chris Lofing,2015,Cassidy Gifford
3447,Black Swan    ,"1 hour, 49 minutes",Darren Aronofsky,2010,"Natalie Portman, Mila Kunis"
3448,Purim: The Lot    ,"1 hour, 9 minutes",Moshe Khusid,2014,"Raleigh Jackson Jones, James V. Roy"
3449,The Ring , 115 minutes ,Various,2003,Various
3450,Six Pack , 108 minutes ,Daniel Petrie,2012,Kenny Rogers
3451,Lonely Boy    ,"2 hours, 5 minutes",Dale Fabrigar,2014,"Alev Aydin, Natalie Distler"
3452,Bellflower    ,"1 hour, 47 minutes",Evan Glodell,2011,"Evan Glodell, Jessie Wiseman"
3453,The Birds    ,"2 hours, 1 minute",Alfred Hitchcock,1963,"Tippi Hedren, Suzanne Pleshette"
3454,My Cousin Vinny    ,"2 hours, 0 minutes",Jonathan Lynn,1992,"Joe Pesci, Ralph Macchio"
3455,Life Tracker    ,"1 hour, 49 minutes",Joe McClean,2013,"Matt Dallas, Rebecca Marshall"
3456,God Help the Girl    ,"1 hour, 52 minutes",Stuart Murdoch,2014,"Emily Browning, Olly Alexander"
3457,The Craft (Special Edition) , 102 minutes ,Andrew Fleming,2000,Neve Campbell
3458,Wildlike    ,"1 hour, 45 minutes",Frank Hall Green,2015,"Bruce Greenwood,Brian Geraghty"
3459,Los Zetas (English Subtitled)   ,"1 hour, 30 minutes",Jorge Aldama,2007,"Jorge Aldama, Julio Aldama Jr."
3460,Selma    ,"2 hours, 9 minutes",Ava DuVernay,2014,"David Oyelowo, Carmen Ejogo"
3461,P.S. I Love You (2007)    ,"2 hours, 7 minutes",Richard LaGravenese,2007,"Hilary Swank, Gerard Butler"
3462,"Daniel Boone, Trail Blazer    ","1 hour, 25 minutes",Albert C. Gannaway,1956,"Bruce Bennett, Lon Chaney Jr."
3463,Exodus: Gods and Kings    ,"2 hours, 30 minutes",Ridley Scott,2014,"Christian Bale, Joel Edgerton"
3464,The Babadook (Special Edition) [Deluxe Packaging] [Blu-ray] , 93 minutes ,Jennifer Kent,2015,Essie Davis
3465,No Country For Old Men    ,"2 hours, 3 minutes",Ethan Coen,2007,"Tommy Lee Jones, Javier Bardem"
3466,Warrior , 140 minutes ,Gavin O'Connor,2011,Tom Hardy
3467,One Flew Over The Cuckoo's Nest    ,"2 hours, 14 minutes",Milos Forman,1975,"Michael Berryman, Peter Brocco"
3468,The Last of the Mohicans Director's Definitive Cut    ,"1 hour, 55 minutes",Michael Mann,1992,"Daniel Day-Lewis, Madeleine Stowe"
3469,GIRLFRIEND (English Subtitled)   ,"2 hours, 0 minutes",Karan Razdan,2015,"Isha Koppikar, Aashish Chaudhary"
3470,Alcatraz Prison Escape: Deathbed Confession    ,"1 hour, 14 minutes",John Edward Lee,2015,"Danny Trejo,Ed O Ross"
3471,I Am Legend    ,"1 hour, 44 minutes",Francis Lawrence,2007,"Will Smith, Alice Braga"
3472,The Fault In Our Stars , 126 minutes ,Josh Boone,2014,Shailene Woodley
3473,While You Were Sleeping , 103 minutes ,Jon Turteltaub,1998,Sandra Bullock
3474,Tim Burton's Corpse Bride    ,"1 hour, 18 minutes",Tim Burton,2005,"Johnny Depp, Helena Bonham Carter"
3475,Girls Like Us    ,"1 hour, 14 minutes",James McFarland,2013,"Bethany Stanton,Robin Lei"
3476,Seize the Day    ,"1 hour, 34 minutes",Fielder Cook,1986,"Robin Williams, Richard B. Shull"
3477,Down Texas Way    ,56 minutes,Howard Bretherton,1942,"Buck Jones, Tim McCoy"
3478,Freeway    ,"1 hour, 42 minutes",Matthew Bright,1996,"Kiefer Sutherland, Reese Witherspoon"
3479,The Sixth Sense (Collector's Edition Series) , 106 minutes ,M. Night Shyamalan,2000,Bruce Willis
3480,Men in Black (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) , 98 minutes ,Barry Sonnenfeld,2013,Linda Fiorentino
3481,Fenced Off    ,"1 hour, 17 minutes",Brad Wise,2014,"Joshua Zirger, Reggie Willis"
3482,"Star Trek: Original Motion Picture Collection (Star Trek I, II, III, IV, V, VI + The Captain's Summit Bonus Disc) ", 755 minutes ,William Shatner,2009,William Shatner
3483,Evil Clutch    ,"1 hour, 26 minutes",Andreas Marfori,1989,"Coralina Cataldi-Tassoni,Diego Ribon"
3484,Bonhoeffer Agent of Grace    ,"1 hour, 26 minutes",Eric Till,2000,"Ulrich Tukur, Johanna Klante"
3485,Gravity    ,"1 hour, 31 minutes",Alfonso Cuarón,2013,"Sandra Bullock, George Clooney"
3486,Lincoln , 150 minutes ,Steven Spielberg,2013,Daniel Day-Lewis
3487,8 Seconds , 104 minutes ,John G. Avildsen,2006,Luke Perry
3488,Schindler's List , 196 minutes ,Steven Spielberg,2013,Liam Neeson
3489,Tombstone    ,"2 hours, 10 minutes",George P. Cosmatos,1993,"Kurt Russell, Val Kilmer"
3490,Indiana Jones and The Last Crusade    ,"2 hours, 7 minutes",Steven Spielberg,1989,"Harrison Ford, Sean Connery"
3491,Halfaouine    ,"1 hour, 36 minutes",Férid Boughedir,1990,"Selim Boughedir, Mustapha Adouani"
3492,Sherlock Holmes (2009)    ,"2 hours, 9 minutes",Guy Ritchie,2009,"Robert Downey Jr., Jude Law"
3493,Dirty Dancing    ,"1 hour, 41 minutes",Emile Ardolino,1987,"Jennifer Grey, Patrick Swayze"
3494,Focus (2015)    ,"1 hour, 45 minutes",Glenn Ficarra,2015,"Will Smith, Margot Robbie"
3495,Murder of A Cat    ,"1 hour, 42 minutes",Gillian Greene,2014,"Nikki Reed, J.K. Simmons"
3496,Children Of The Grave    ,"1 hour, 33 minutes",Christopher Saint Booth,2013,"Keith Age, John Zaffis"
3497,The Wolf of Wall Street (Blu-ray + DVD + Digital HD) , 180 minutes ,Martin Scorsese,2014,Leonardo DiCaprio
3498,Bram Stoker's Dracula    ,"2 hours, 8 minutes",Francis Ford Coppola,1992,"Gary Oldman, Winona Ryder"
3499,Battle For Haditha    ,"1 hour, 33 minutes",Nick Broomfield,2013,"Matthew Knoll, Elliot Ruiz"
3500,After Words    ,"1 hour, 31 minutes",Juan Feldman,2015,"Marcia Gay Harden,Oscar Jaenada"
3501,Gravity (3D Blu-ray + Blu-ray + DVD +UltraViolet Combo Pack) , 91 minutes ,Alfonso  Cuaron,2014,Sandra Bullock
3502,Path To War    ,"2 hours, 45 minutes",John Frankenheimer,2002,"Michael Gambon, Donald Sutherland"
3503,Where We Started    ,"1 hour, 46 minutes",Christopher J. Hansen,2014,"Matthew Brumlow, Cora Vander Broek"
3504,My Left Foot    ,"1 hour, 44 minutes",Jim Sheridan,2005,"Daniel Day-Lewis, Brenda Fricker"
3505,Safe Haven    ,"1 hour, 56 minutes",Lasse Hallström,2013,"Julianne Hough, Irene Ziegler"
3506,2 Days In New York    ,"1 hour, 36 minutes",Julie Delpy,2012,"Chris Rock, Julie Delpy"
3507,Moonrise Kingdom [Blu-ray] , 94 minutes ,Wes Anderson,2015,Bruce Willis
3508,Warrior    ,"2 hours, 20 minutes",Gavin O'Connor,2011,"Joel Edgerton, Tom Hardy"
3509,Forever Mine    ,"1 hour, 57 minutes",Paul Schrader,2001,"Joseph Fiennes, Ray Liotta"
3510,Muriel's Wedding    ,"1 hour, 46 minutes",P.J. Hogan,2003,"Sophie Lee, Roz Hammond"
3511,On The Waterfront    ,"1 hour, 48 minutes",Elia Kazan,1954,"Marlon Brando, Karl Malden"
3512,The Pursuit Of Happyness    ,"1 hour, 58 minutes",Gabriele Muccino,2006,"Will Smith, Jaden Smith"
3513,Strange Love Of Martha Ivers    ,"1 hour, 57 minutes",Lewis Milestone,1946,"Barbara Stanwyck, Van Heflin"
3514,American Horror Story: Asylum , 572 minutes ,Alfonso Gomez-Rejon,2013,Evan Peters
3515,Wait Until Dark , 108 minutes ,Terence Young,2003,Audrey Hepburn
3516,Titanic    ,"3 hours, 15 minutes",James Cameron,2012,"Leonardo DiCaprio, Kate Winslet"
3517,Forrest Gump , 141 minutes ,Robert Zemeckis,2001,Tom Hanks
3518,Steel Magnolias (Special Edition) , 118 minutes ,Herbert Ross,2000,Olympia Dukakis
3519,The Three Way Wedding (English Subtitled)   ,"1 hour, 45 minutes",Jacques Doillon,2010,"Pascal Greggory, Julie Depardieu"
3520,Before We Go , 96 minutes ,Chris Evans,2015,Chris Evans
3521,Sparrows Dance    ,"1 hour, 23 minutes",Noah Buschel,2013,"Marin Ireland, Paul Sparks"
3522,My Last Day Without You    ,"1 hour, 33 minutes",Stefan C. Schaefer,2013,"Nicole Beharie, Reg E. Cathey"
3523,Doctor Zhivago (Deluxe Edition) , 191 minutes ,David Lean,2010,Omar Sharif
3524,My Big Fat Greek Wedding    ,"1 hour, 35 minutes",Joel Zwick,2002,"Nia Vardalos, Michael Constantine"
3525,Compliance    ,"1 hour, 30 minutes",Craig Zobel,2012,"Ann Dowd, Matt Servitto"
3526,Fissure    ,"1 hour, 30 minutes",Russ Pond,2015,"James MacDonald, Scarlett McAlister"
3527,Fight Club (10th Anniversary Edition) [Blu-ray] , 139 minutes ,David Fincher,2009,Edward Norton
3528,Hurt - temp tag    ,"1 hour, 37 minutes",Barbara Stepansky,2009,"Melora Walters, William Mapother"
3529,Freddy vs. Jason    ,"1 hour, 38 minutes",Ronny Yu,2003,"Robert Englund, Ken Kirzinger"
3530,Sleepless in Seattle (10th Anniversary Edition) , 2 minutes ,Nora Ephron,2003,Ross Malinger
3531,Grey Gardens    ,"1 hour, 44 minutes",Michael Sucsy,2009,"Drew Barrymore, Jessica Lange"
3532,Because Of Winn-Dixie    ,"1 hour, 47 minutes",Wayne Wang,2005,"AnnaSophia Robb, Jeff Daniels"
3533,"Signed, Sealed, Delivered ", 90 minutes ,Martha Williamson,2015,Eric Mabius
3534,The Wolfpack    ,"1 hour, 30 minutes",Crystal Moselle,2015,"Bhagavan Angulo, Govinda Angulo"
3535,The Devil's Rejects / House of 1000 Corpses (Horror Two-Pack) [Blu-ray] ,,Rob Zombie,2011,Sid Haig
3536,"Blood In, Blood Out ", 190 minutes ,Taylor Hackford,2000,Jesse Borrego
3537,About Time , 124 minutes ,Richard Curtis,2014,Domhnall Gleeson
3538,A Royal Affair (English Subtitled)    ,"2 hours, 18 minutes",Nikolaj Arcel,2012,"Alicia Vikander, Mads Mikkelsen"
3539,The Royal Tenenbaums    ,"1 hour, 50 minutes",Wes Anderson,2001,"Gene Hackman, Anjelica Huston"
3540,Meeting At Midnight    ,"1 hour, 5 minutes",Phil Rosen,2007,"Sidney Toler, Mantan Moreland"
3541,The Ride    ,33 minutes,Dallas Jenkins,2014,"Kirk B.R. Woller, Brad Heller"
3542,Amira & Sam    ,"1 hour, 28 minutes",Sean Mullin,2014,"Martin Starr, Dina Shihabi"
3543,Frida    ,"2 hours, 3 minutes",Julie Taymor,2004,"Salma Hayek, Mía Maestro"
3544,A Swedish Midsummer Sex Comedy (Antligen Midsommar)    ,"1 hour, 30 minutes",Ian McCrudden,2009,"Olle Sarri, Annica McCrudden"
3545,Serenity [Blu-ray] , 119 minutes ,Joss Whedon,2008,Nathan Fillion
3546,"Between God, The Devil and a Winchester - Digitally Remastered    ","1 hour, 39 minutes",Marino Girolami,2009,"Gilbert Roland, Richard Harrison"
3547,Apocalypse    ,"1 hour, 37 minutes",Raffaele Mertes,2015,"Richard Harris, Vittoria Belvedere"
3548,The Giver DVD , 97 minutes ,Phillip Noyce,2014,Jeff Bridges
3549,Top Gun (Widescreen Special Collector's Edition) , 110 minutes ,Tony Scott,2004,Tom Cruise
3550,Pan's Labyrinth [Blu-ray] , 118 minutes ,Guillermo del Toro,2007,Sergi López
3551,The Count of Monte Cristo , 131 minutes ,Kevin Reynolds,2002,Jim Caviezel
3552,The Ten Commandments , 231 minutes ,Various,2011,Various
3553,Appalachian Trial    ,"1 hour, 25 minutes",Tim Rogers,2005,"Jonathan Kappel, Gabrielle Huntress"
3554,Apollo 13    ,50 minutes,Ron Howard,1995,"Tom Hanks, Bill Paxton"
3555,Christmas Crush    ,"1 hour, 28 minutes",Marita Grabiak,2013,"Rachel Boston,Jonathan Bennett"
3556,Casablanca    ,"1 hour, 43 minutes",Michael Curtiz,1942,"Humphrey Bogart, Ingrid Bergman"
3557,The Bourne Identity    ,"1 hour, 59 minutes",Doug Liman,2002,"Matt Damon, Franka Potente"
3558,Pineapple Express Unrated    ,"1 hour, 52 minutes",David Gordon Green,2008,"Seth Rogen, James Franco"
3559,Great Expectations    ,"1 hour, 53 minutes",Graham McLaren,2013,"Jack Ellis, Christopher Ellison"
3560,Django Unchained [Blu-ray] , 166 minutes ,Quentin Tarantino,2013,Jamie Foxx
3561,The Mummy Returns    ,"2 hours, 10 minutes",Stephen Sommers,2001,"Brendan Fraser, Rachel Weisz"
3562,The Usual Suspects    ,"1 hour, 47 minutes",Bryan Singer,1995,"Stephen Baldwin, Gabriel Byrne"
3563,A Time to Kill    ,"2 hours, 30 minutes",Joel Schumacher,1996,"Matthew McConaughey, Sandra Bullock"
3564,The Lucky One , 100 minutes ,Scott Hicks,2012,Zac Efron
3565,Pet Sematary    ,"1 hour, 43 minutes",Mary Lambert,1989,"Dale Midkiff, Fred Gwynne"
3566,Freestyle    ,"1 hour, 26 minutes",Kolton Lee,2011,"Lucy Konadu, Arinze Kene"
3567,The Good Witch's Family    ,"1 hour, 28 minutes",Craig Pryce,2011,"Catherine Bell, Chris Potter"
3568,Witch Way Out    ,22 minutes,Marywicca,2007,"Michael Clevland, Carlyne Fournier"
3569,Citizen Kane (70th Anniversary Ultimate Collector's Edition) , 119 minutes ,Orson Welles,2011,Orson Welles
3570,Wild Tales , 122 minutes ,Damián Szifron,2015,Ricardo Darín
3571,Against A Crooked Sky    ,"1 hour, 28 minutes",Earl Bellamy,1975,"Richard Boone, Stewart Petersen"
3572,The Last Song , 107 minutes ,Julie Anne Robinson,2010,Miley Cyrus
3573,The Tree of Life (Three-Disc Blu-ray/DVD Combo + Digital Copy) , 139 minutes ,Terrence Malick,2011,Brad Pitt
3574,Beaches (Special Edition) , 123 minutes ,Garry Marshall,2005,Bette Midler
3575,What Lies Beneath (2000) , 130 minutes ,Robert Zemeckis,2001,Harrison Ford
3576,The Bourne Supremacy    ,"1 hour, 49 minutes",Paul Greengrass,2004,"Matt Damon, Franka Potente"
3577,Twisted    ,"1 hour, 39 minutes",Seth Michael Donsky,1997,"Ray Aranha, Keivyn McNeill Grayes"
3578,Ben-Hur (1959) / The Ten Commandments (1956) [Blu-ray] , 455 minutes ,Various,2013,Various
3579,On Any Sunday    ,"1 hour, 29 minutes",Bruce Brown,1971,"Bruce Brown, David Evans"
3580,Frankenstein (Universal Studios Classic Monster Collection) , 71 minutes ,James Whale,1999,Boris Karloff
3581,Summer Vacation (English Subtitled)   ,23 minutes,Tal Granit,2013,"Yiftach Klein, Oded Leopold"
3582,Between Two Women    ,"1 hour, 20 minutes",Steven Woodcock,2004,"Barbara Marten, Andrina Carroll"
3583,The Amazing Spider-Man (Three-Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) , 136 minutes ,Marc Webb,2012,Andrew Garfield
3584,The Guardian [Blu-ray] , 92 minutes ,William Friedkin,1916,Jenny Seagrove
3585,300: Rise of an Empire (2014)   ,"1 hour, 43 minutes",Noam Murro,2014,"Sullivan Stapleton, Eva Green"
3586,Into The Wild , 149 minutes ,Various,2008,Various
3587,It's A Wonderful Life (Two-Disc Collector's Set) , 130 minutes ,Frank Capra,2007,James Stewart
3588,A Beautiful Mind (Widescreen)(2001) , 136 minutes ,Ron Howard,2006,Russell Crowe
3589,World War I: Cause and Effects    ,57 minutes,Rick Manning,1999,Daniel Dorse
3590,Witchcraft II: The Temptress    ,"1 hour, 29 minutes",Mark Woods,1989,"Charles Solomon Jr.,Delia Sheppard"
3591,Cause for Alarm!    ,"1 hour, 14 minutes",Tay Garnett,1951,"Loretta Young, Barry Sullivan"
3592,The Godfather Part III    ,"2 hours, 51 minutes",Francis Ford Coppola,1990,"Al Pacino, Diane Keaton"
3593,The Hunger [Blu-ray] , 96 minutes ,Tony Scott,2015,Catherine Deneuve
3594,Pulp Fiction , 154 minutes ,Quentin Tarantino,2011,John Travolta
3595,Miss Congeniality (2000)    ,"1 hour, 51 minutes",Donald Petrie,2000,"Sandra Bullock, Michael Caine"
3596,Urban Cowboy (1980) , 135 minutes ,James Bridges,2002,John Travolta
3597,Save the Last Dance (Special Collector's Edition) , 112 minutes ,Various,2013,Various
3598,In Which We Serve    ,"1 hour, 55 minutes",Noel Coward,2006,"Noel Coward, Derek Elphinstone"
3599,Elizabeth    ,"2 hours, 4 minutes",Shekhar Kapur,1998,"Cate Blanchett, Geoffrey Rush"
3600,Works in Progress    ,"1 hour, 51 minutes",Stephen Wallace Pruitt,2007,"Greg Brostrom, Ben Jeffrey"
3601,Blue Chips    ,"1 hour, 48 minutes",William Friedkin,1994,"Nick Nolte, Mary McDonnell"
3602,Just the Vampire Hunter    ,"1 hour, 34 minutes",Dustin James Leighton,2015,"Hunter Gomez,Megan Harvey"
3603,Of Mice And Men    ,"1 hour, 51 minutes",Gary Sinise,1992,"John Malkovich, Gary Sinise"
3604,Silver Linings Playbook    ,"2 hours, 2 minutes",David O. Russell,2012,"Bradley Cooper, Jennifer Lawrence"
3605,The Twilight Saga: Breaking Dawn - Part 1 (Two-Disc Special Edition) , 117 minutes ,Bill Condon,2012,Kristen Stewart
3606,A Conspiracy of Lies: Flight 370 to 911    ,59 minutes,J. Michael Long,2015,"Paul Hughes,Robert Pitt"
3607,Whistle and I'll Come to You    ,53 minutes,Andy De Emmony,2010,"John Hurt, Gemma Jones"
3608,Secretariat    ,"2 hours, 3 minutes",Randall Wallace,2010,"Diane Lane, John Malkovich"
3609,Citizen Kane (70th Anniversary)    ,"2 hours, 0 minutes",Orson Welles,1941,"Joseph Cotten, Dorothy Comingore"
3610,Amadeus (Director's Cut)    ,"3 hours, 1 minute",Milos Forman,2002,"F. Murray Abraham, Tom Hulce"
3611,Mr. Smith Goes to Washington (4K-Mastered + UltraViolet + Included Digibook) [Blu-ray] , 90 minutes ,Frank Capra,2014,Guy Kibbee
3612,Havana 57 - (2013)    ,"1 hour, 39 minutes",Jim Purdy,2013,"Juan Riedinger, Elisabetta Fantone"
3613,The Exodus Decoded    ,"1 hour, 35 minutes",Simcha Jacobovici,2005,"Uzi Avner, Manfred Bietak"
3614,Eve's Bayou    ,"1 hour, 56 minutes",Kasi Lemmons,1997,"Jurnee Smollett-Bell, Meagan Good"
3615,Loving Annabelle    ,"1 hour, 18 minutes",Katherine Brooks,2006,"Erin Kelly, Diane Gaidry"
3616,The Phantom of the Opera (2004)    ,"2 hours, 22 minutes",Joel Schumacher,2004,"Gerard Butler, Emmy Rossum"
3617,The Last of the Mohicans: Director's Definitive Cut [Blu-ray] , 112 minutes ,Michael Mann,2010,Daniel Day-Lewis
3618,She Lives Her Life    ,"1 hour, 18 minutes",Mark Thimijan,2015,"Karis Yanike,Mark Booker"
3619,City Slacker    ,"1 hour, 28 minutes",James Larkin,2012,"Fiona Gillies, Tom Conti"
3620,Pretty In Pink (1986) , 97 minutes ,John Hughes,2013,Molly Ringwald
3621,The Family Stone    ,"1 hour, 44 minutes",Thomas Bezucha,2005,"Claire Danes, Diane Keaton"
3622,The Beast (English Subtitled)   ,"1 hour, 29 minutes",Hwang Yu Sik,2011,"Lee Na-Ri,Yoon Won-Suk"
3623,Herman's House    ,"1 hour, 22 minutes",Angad Bhalla,2012,Herman Wallace
3624,Away From Here    ,"1 hour, 22 minutes",Bruce Van Dusen,2013,"Alicia Witt, Ray Wise"
3625,9, 80 minutes ,Shane Acker,2009,Christopher Plummer
3626,An Ordinary Hero    ,"1 hour, 32 minutes",Michele Placido,2013,"Fabrizio Bentivoglio, Michele Placido"
3627,Execution of Raymond Graham    ,"1 hour, 37 minutes",Daniel Petrie,2013,"Graham Beckel, George Dzundza"
3628,The Belle Of Amherst    ,"1 hour, 29 minutes",Charles S. Dubin,1976,Julie Harris
3629,Spitfire - The First of the Few - 1942    ,"2 hours, 21 minutes",Leslie Howard,2010,"Leslie Howard, David Niven"
3630,Mrs. Henderson Presents    ,"1 hour, 44 minutes",Stephen Frears,2005,"Judi Dench, Bob Hoskins"
3631,Fireproof    ,"1 hour, 59 minutes",Alex Kendrick,2008,"Kirk Cameron, Erin Bethea"
3632,Adult Beginners    ,"1 hour, 33 minutes",Ross Katz,2015,"Rose Byrne, Nick Kroll"
3633,Jane Eyre - Digitally Remastered    ,"1 hour, 48 minutes",Delbert Mann,2009,"George C. Scott, Susannah York"
3634,Scarface (1983) , 170 minutes ,Brian De Palma,2006,Al Pacino
3635,Shaka Zulu    ,"1 hour, 35 minutes",Joshua Sinclair,2001,"David Hasselhoff, Karen Allen"
3636,Bad Boys    ,"2 hours, 4 minutes",Rick Rosenthal,1983,"Sean Penn, Reni Santoni"
3637,5 to 7    ,"1 hour, 38 minutes",Victor Levin,2015,"Olivia Thirlby, Anton Yelchin"
3638,Dressed To Kill    ,"1 hour, 30 minutes",Roy William Neill,1946,"Basil Rathbone, Nigel Bruce"
3639,Personal Effects    ,"1 hour, 51 minutes",David Hollander,2009,"Michelle Pfeiffer, Ashton Kutcher"
3640,When the Last Sword is Drawn    ,"2 hours, 18 minutes",Yôjirô Takita,2001,"Kiichi Nakai, Kôichi Satô"
3641,The Day After Tomorrow    ,"2 hours, 4 minutes",Roland Emmerich,2004,"Dennis Quaid, Jake Gyllenhaal"
3642,A League Of Their Own    ,"2 hours, 8 minutes",Penny Marshall,1992,"Tom Hanks, Geena Davis"
3643,The Last Song    ,"1 hour, 48 minutes",Julie Anne Robinson,2010,"Miley Cyrus, Greg Kinnear"
3644,The Da Vinci Code    ,"2 hours, 55 minutes",Ron Howard,2006,"Tom Hanks, Audrey Tautou"
3645,Terrible Angels    ,"1 hour, 35 minutes",Anthony Pierce,2013,"Una Jo Blade, Michael Madsen"
3646,Sugar Wars: The Rise Of The Cleveland Mafia    ,57 minutes,T.J. Amato,2014,Michael Cipiti
3647,Anna Boleyn    ,"1 hour, 59 minutes",Ernst Lubitsch,1921,"Henny Porten, Emil Jannings"
3648,Cesar Chavez    ,"1 hour, 42 minutes",Kerry Adra,2014,"Kerry Adra, Maynor Alvarado"
3649,Pocahontas    ,"1 hour, 22 minutes",Mike Gabriel,1995,"Irene Bedard, Judy Kuhn"
3650,To Kill a Mockingbird    ,"2 hours, 10 minutes",Robert Mulligan,1962,"Gregory Peck, John Megna"
