ID,Title,Time,Director,Year,Cast
2571,Fullmetal Alchemist: The Sacred Star of Milos,1 hr. 50 min.,Kazuya Murata,2012,"Romi Park, Rie Kugimiya, Vic Mignogna, Maaya Sakamoto, Toshiyuki Morikawa, Shin'ichiro Miki"
2572,Nazis at the Center of the Earth,1 hr. 31 min.,Joseph J. Lawson,2012,"Jake Busey, Christopher Karl Joh..., Dominique Swain, Lilan Bowden, Marlene Okner, Trevor Kuhn"
2573,Contraband,1 hr. 49 min.,Baltasar KormÌÁkur,2012,"Kate Beckinsale, Mark Wahlberg, Ben Foster, Giovanni Ribisi, Lukas Haas, Caleb Landry Jones"
2574,Lassiter,1 hr. 40 min.,Roger Young,1984,"Tom Selleck, Lauren Hutton, Jane Seymour, Bob Hoskins, Joe Regalbuto, Ed Lauter"
2575,Caged Animal,1 hr. 18 min.,Ryan Combs,2010,"Ving Rhames, Robert LaSardo, Robert La Sardo, Robert Patrick, Hemky Madera, Gillie DeKid"
2576,The Buccaneer,2 hr. 4 min.,Cecil B. DeMille,1938,"Fredric March, Franziska Gaal, Ian Keith, Margot Grahame, Walter Brennan, Franciska Gaal"
2577,Let the Bullets Fly,2 hr. 12 min.,Wen Jiang,2012,"Yun-Fat Chow, Jiang Wen, You Ge, Carina Lau, Jun Hu, Yun Zhou"
2578,Haywire,1 hr. 33 min.,Steven Soderbergh,2012,"Gina Carano, Ewan McGregor, Channing Tatum, Michael Fassbender, Michael Douglas, Antonio Banderas"
2579,Reykjavik-Rotterdam,1 hr. 30 min.,ÌÒskar JÌ_nasson,2008,"Throstur Leo Gunnars..., Ingvar E. SigurÌ¡sson, Lilja NÌ_tt Ì_Ì_rarinsd..., Victor LÌ¦w, Baltasar KormÌÁkur, Olafur Darri Olafsso..."
2580,Beautiful Wave,1 hr. 36 min.,David Mueller,2011,"Aimee Teegarden, Patricia Richardson, Ben Milliken, Alicia Ziegler, David Thomas Jenkins, Lance Henriksen"
2581,Underworld Awakening,1 hr. 28 min.,BjÌ¦rn Stein,2012,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley, Sandrine Holt"
2582,Desperate Search,1 hr. 13 min.,Joseph H. Lewis,1952,"Howard Keel, Jane Greer, Patricia Medina, Keenan Wynn, Robert Burton, Lee Aaker"
2583,The Grey,1 hr. 58 min.,Joe Carnahan,2012,"Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts, Joe Anderson, Nonso Anozie"
2584,Planzet (Puranzetto),53 min.,Jun Awazu,2010,"Kaori Ishihara, Masami Iwasaki, Mamoru Miyano, Junko Takeuchi, Yuka Terazaki, Kenjiro Tsuda"
2585,Rampart,1 hr. 47 min.,Oren Moverman,2012,"Woody Harrelson, Sigourney Weaver, Robin Wright, Ned Beatty, Ben Foster, Ice Cube"
2586,Black Cobra,1 hr. 28 min.,Lilly Melgar,2012,"Cary-Hiroyuki Tagawa, Jeff Wolfe, Damion Poitier, TJ Storm, Michael Chinyamurind..., T.J. Storm"
2587,The Dead Undead,1 hr. 30 min.,Eddie Conna,2010,"Forrest J Ackerman, Joshua Alba, Luke Goss, Cameron Goodman, Laura Kenley, Laura Kenley Chinn"
2588,Mutant Girls Squad (SentÌ« shÌ«jo: Chi no tekkamen densetsu),1 hr. 25 min.,Noboru Iguchi,2010,"Yumi Sugimoto, Yuko Takayama, Suzuka Morita, Tak Sakaguchi, Asami, Kentaro Shimazu"
2589,This Means War,1 hr. 38 min.,McG,2012,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Chelsea Handler, John Paul Ruttan"
2590,Tell It to the Marines,9 min.,George W. Hill,1926,"Lon Chaney, William Haines, Eleanor Boardman, Frank Currier, Eddie Gribbon, Maurice E. Kains"
2591,WWE Extreme Rules 2011,,WWE,2011,"Jason Reso, Alberto Del Rio, John Cena, John Hennigan, Mike Mizanin, Randy Orton"
2592,The Aggression Scale,1 hr. 24 min.,Steven C. Miller,2012,"Ryan Hartwig, Fabianne Therese, Ray Wise, Dana Ashbrook, Derek Mears, Jacob Reynolds"
2593,Memorial Day,1 hr. 44 min.,Sam Fischer,2012,"Jonathan Bennett, John Cromwell, James Cromwell, Jackson Bond, Mary Kay Fortier-Spa..."
2594,Abraham Lincoln Vs. Zombies,1 hr. 31 min.,Richard Schenkman,2012,"Bill Oberst Jr., Jason Vail, Baby Norman, Don McGraw, Kent Igleheart, Rhianna Van Helton"
2595,Run for Cover (Colorado),1 hr. 33 min.,Nicholas Ray,1955,"James Cagney, John Derek, Jean Hersholt, Viveca Lindfors, Grant Withers, Jack Lambert"
2596,1313: Billy The Kid,1 hr. 15 min.,David DeCoteau,2012,"Brandon Thornton, Jason Zahodnik, Chelsea Rae Bernier, Lance Leonhardt, Ryan Curry, Ryan McIntyre"
2597,Act of Valor,1 hr. 41 min.,Mike McCoy,2012,"Roselyn Sanchez, Jason Cottle, Alex Veadov, Nestor Serrano, Rorke, Dave"
2598,Act Of Vengeance,1 hr. 37 min.,Mahsun KirmizigÌ_l,2010,"Danny Glover, Gina Gershon, Haluk Bilginer, Mahsun KirmizigÌ_l, Robert Patrick"
2599,Bad Ass,1 hr. 30 min.,Craig Moss,2012,"Danny Trejo, Ron Perlman, Joyful Drake, Charles S. Dutton, Patrick Fabian, John Duffy"
2600,Bad Blood: The Hatfields and McCoys,1 hr. 21 min.,Fred Olen Ray,2012,"Jeff Fahey, Christian Slater, Perry King, Priscilla Barnes, Tim Abell, Sean Flynn"
2601,Machine Gun Preacher,2 hr. 3 min.,Sebastian Roche,2011,"Gerard Butler, Michelle Monaghan, Kathy Baker, Michael Shannon, Ryann Campos, Madeline Carroll"
2602,Journey 2: The Mysterious Island,1 hr. 34 min.,Brad Peyton,2012,"Dwayne ""The Rock"" Jo..., Michael Caine, Josh Hutcherson, Luis Guzman, Kristin Davis, Anna Colwell"
2603,John Carter,1 hr. 58 min.,Andrew Stanton,2012,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Antonio Sabato Jr."
2604,Missing in Action 2: The Beginning,1 hr. 36 min.,Thomas Moore (VIII),1985,"Chuck Norris, Soon-Teck Oh, Steven Williams, Bennett Ohta, Cosie Costa, Joe Michael Terry"
2605,Yellow Submarine,1 hr. 27 min.,Dick Emery,1968,"John Clive, Geoffrey Hughes, Peter Batten, Paul Angelis, Dick Emery, Lance Percival"
2606,Safe House,1 hr. 54 min.,Daniel Espinosa,2012,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Ruben Blades"
2607,Yi ngoi (Accident),1 hr. 29 min.,Pou-Soi Cheang,2009,"Louis Koo, Richie Ren, Michelle Ye, Feng Tsui Fan, Suet Lam, Han Yuqin"
2608,Alien Origin,1 hr. 31 min.,Mark Atkins,2012,"Chelsea Vincent, Peter Pedrero, Philip Coc, Trey McCurley, Daniela Flynn, Andres Rash"
2609,Superman vs. The Elite,1 hr. 15 min.,Michael Chang,2012,"George Newbern, Pauley Perrette, Robin Atkin Downes, David Kaufman"
2610,Kill Speed,1 hr. 53 min.,Kim Bass,2010,"Andrew Keegan, Brandon Quinn, Natalia Cigliuti, Reno Wilson, Greg Grunberg, Tom Arnold"
2611,Ghost Rider: Spirit of Vengeance,1 hr. 35 min.,Brian Taylor,2012,"Nicolas Cage, CiarÌÁn Hinds, Violante Placido, Idris Elba, Johnny Whitworth, Fergus Riordan"
2612,Stand By for Action,1 hr. 49 min.,Robert Z. Leonard,1942,"Robert Taylor, Charles Laughton, Brian Donlevy, Walter Brennan, Marilyn Maxwell, Henry O'Neill"
2613,Snow on tha Bluff,1 hr. 19 min.,Damon Russell,2012,"Curtis Snow, Frank Ringer, Curtis Lockett, Tamala Davis, Adrienne Lockett, Cat Erickson"
2614,Sherlock Holmes: A Game of Shadows,2 hr. 8 min.,Guy Ritchie,2011,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry"
2615,Witchslayer Gretl,1 hr. 27 min.,Mario Azzopardi,2012,"Shannen Doherty, Paul McGillion, Emilie Ullerup, Erica Cox, Sarain Boylan"
2616,My Reincarnation,1 hr. 40 min.,Jennifer Fox,2011,"Namkhai Norbu, Yeshi Silvano Namkha..."
2617,Seeking Justice,1 hr. 45 min.,Roger Donaldson,2012,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau Jr., Xander Berkeley, Joe Chrest"
2618,Cat Run,1 hr. 42 min.,John Stockwell,2011,"Paz Vega, Janet McTeer, Alphonso McAuley, Scott Mechlowicz, Christopher McDonald, Karel Roden"
2619,Big Miracle,1 hr. 47 min.,Ken Kwapis,2012,"John Krasinski, Drew Barrymore, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw"
2620,Is My Face Red,1 hr. 7 min.,William A. Seiter,1932,"Helen Twelvetrees, Ricardo Cortez, Jill Esmond, Robert Armstrong, Arline Judge, Zasu Pitts"
2621,Sector 7,1 hr. 52 min.,Kim Ji-Hoon,2011,"Ha Ji-Won, Sung-kee Ahn, Ji-ho Oh, Ji-won Ha, Cheol-min Park, Han-wi Lee"
2622,Sleeper,1 hr. 26 min.,Dru Brown,2009,"Bruce Hopkins, Scott 'Raven' Levy, Ty Hungerford"
2623,21 Jump Street,1 hr. 49 min.,Chris Miller,2012,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis"
2624,The Hangman,1 hr. 26 min.,Michael Curtiz,1959,"Robert Taylor, Fess Parker, Tina Louise, Jack Lord, Gene Evans, Mickey Shaughnessy"
2625,The Night of the Grizzly,1 hr. 39 min.,Joseph Pevney,1966,"Clint Walker, Martha Hyer, Nancy Kulp, Keenan Wynn, Kevin Brodie, Ellen Corby"
2626,Sound of Noise,1 hr. 42 min.,Johannes StjÌ_rne Nilsson,2012,"Bengt Nilsson, Sanna Persson, Sanna Persson Halapi, Magnus BÌ¦rjeson, Fredrik Myhr, Johannes BjÌ¦rk"
2627,Toxic Lullaby,1 hr. 32 min.,Ralf Kemper,2010,"Samantha Richter, Eva Balkenhol, Noah Hunter, Andreas Pape, Yvo Rene Scharft, Nima Conradt"
2628,Code 207,1 hr. 31 min.,Tino Struckmann,2011,"Tino Struckmann, Jill Headrick, Jack Dimich, Tiffany Anne Hughes, Chase Stevens, Tommy Mercer"
2629,Battle Force,1 hr. 41 min.,Scott Martin (XII),2012,"Scott Martin, Clint Glenn Hummel, Clint Glenn, Brandon Kyle Davis, Johnny Kios, Brandon Davis"
2630,Wrath of the Titans,1 hr. 39 min.,Jonathan Liebesman,2012,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramirez, Toby Kebbell, Rosamund Pike"
2631,1313: Hercules Unbound!,1 hr. 12 min.,David DeCoteau,2012,"Geoff Ward, Brett Zimmerman, Tyler P. Scott, Chelsea Rae Bernier, Priyom Haider, Brendan Lamb"
2632,The Great Melee,1 hr. 58 min.,Eiichi Kudo,1964,"Kohtaro Satomi, Mikijiro Hira, Toru Abe, Nami Munakata, Ryutaro Ohtomo"
2633,Back From Eternity,1 hr. 37 min.,John Farrow,1957,"Rod Steiger, Robert Ryan, Anita Ekberg, Beulah Bondi, Phyllis Kirk, Keith Andes"
2634,Cherry Bomb,1 hr. 30 min.,Kyle Day,2011,"Julin, Nick Manning, John Gabriel Rodriqu..., John Rodriguez, Allen Hackley, Jeremy James"
2635,Killer By Nature,1 hr. 30 min.,Douglas S. Younglove,2012,"Ron Perlman, Armand Assante, Zachary Ray Sherman, Lin Shaye, Haley Hudson, Richard Riehle"
2636,Rose Marie,1 hr. 52 min.,W.S. Van Dyke,1936,"Jeanette MacDonald, Nelson Eddy, James Stewart, Reginald Owen, George Regas, Robert Greig"
2637,Dawn Rider,1 hr. 30 min.,Terry Miles,2012,"Donald Sutherland, Christian Slater, Jill Hennessy, Lochlyn Munro, Adrian Hough, George Canyon"
2638,Lockout,1 hr. 35 min.,James Mather,2012,"Guy Pearce, Maggie Grace, Vincent Regan, Joseph Gilgun, Lennie James, Peter Stormare"
2639,Patagonia Rising,1 hr. 28 min.,Brian Lilla,2012,"Carla Wilkins, Juvenal Fuentes Arra..., Bernardo Arratia, Lautaro Arratia, Lalo Ojeda, Mitzi Urtubia"
2640,Lockout (Unrated),1 hr. 35 min.,Stephen St. Leger,2012,"Guy Pearce, Maggie Grace, Vincent Regan, Peter Stormare, Lennie James, Joseph Gilgun"
2641,Get the Gringo,1 hr. 35 min.,Adrian Grunberg,2012,"Mel Gibson, Dolores Heredia, Kevin Hernandez, Peter Stormare, Dean Norris, Bob Gunton"
2642,Deserter,1 hr. 30 min.,Martin Huberty,2002,"Paul Fox, Tom Hardy, Kate Maberly, Aitor Merino, Felicite du Jeu, Yorick van Wageninge..."
2643,The Last Challenge,1 hr. 36 min.,Richard Thorpe,1967,"Chad Everett, Glenn Ford, Angie Dickinson, Gary Merrill, Jack Elam, Delphi Lawrence"
2644,Midnight Son,1 hr. 32 min.,Scott Leberecht,2009,"Zac Kilberg, Maya Parish, Joe D. Jonz, Larry Cedar, Arlen Escarpeta, Juanita Jennings"
2645,The Cross of Lorraine,1 hr. 30 min.,Tay Garnett,1943,"Jean-Pierre Aumont, Gene Kelly, Cedric Hardwicke, Richard Whorf, Joseph Calleia, Peter Lorre"
2646,My Way,2 hr. 25 min.,Je-kyu Kang,2012,"Dong-gun Jang, JÌ« Odagiri, Bingbing Fan, In-kwon Kim, Seung-hyeon Han"
2647,Age of the Dragons,1 hr. 31 min.,Ryan Little,2011,"Danny Glover, Vinnie Jones, Corey Sevier, Sofia Pernas, Larry Bagby, John Kepa Kruse"
2648,Budz House,1 hr. 16 min.,Cameron Casey,2012,"Wesley Jonathan, Faizon Love, Luenell, Aaron Scotti, Danielle E. Hawkins, JT Jackson"
2649,The Girl from the Naked Eye,1 hr. 24 min.,David Ren,2012,"Samantha Streets, Ron Yuan, Dominique Swain, Sasha Grey, Gary Stretch, Jason Yee"
2650,100 Ghost Street: The Return Of Richard Speck,1 hr. 30 min.,Martin Andersen,2012,"Tony Besson, Jennifer Robyn Jacob..., Mike Holley, Jackie Moore, Hayley Derryberry, Jim Shipley"
2651,Brake,1 hr. 31 min.,Gabe Torres,2012,"Stephen Dorff, Chyler Leigh, JR Bourne, Tom Berenger, Bobby Tomberlin, Kali Rocha"
2652,Atom Nine Adventures,1 hr. 17 min.,Christopher Farley,2007,"Paul Meade, Jennifer Ferguson, Colin Armstrong, Christopher Farley"
2653,Cole Younger & the Black Train,1 hr. 30 min.,Christopher Forbes,2011,"Cody McCarver, Debra Carlsen, Jerry Chesser, Taylor-Grace Davis, Richard Kinsey, Michael Madsen"
2654,Big Shots,1 hr. 31 min.,Robert Mandel,1987,"Ricky Busker, Darius McCrary, Paul Winfield, Robert Prosky, Robert Joy, Jerzy Skolimowski"
2655,Hijacked,1 hr. 30 min.,Brandon Nutt,2012,"Randy Couture, Craig Fairbrass, Dominic Purcell, Gina Philips, Holt McCallany, Vinnie Jones"
2656,Fire with Fire,1 hr. 43 min.,Duncan Gibbins,1986,"Virginia Madsen, Craig Sheffer, Jon Polito, J.J. Cohen, Kate Reid, Jean Smart"
2657,The Liquidator,1 hr. 34 min.,Akan Satayev,2011,"Aitzhanov Berik, Aitzhanov Berik, Vinnie Jones, Aziz Beyshenaliev, Aziz Beishenaliyev, Karlygash Mukhamedzh..."
2658,Steve Niles' Remains,1 hr. 28 min.,Colin Theys,2011,"Miko Hughes, Lance Reddick, Grant Bowler, Tawny Cypress, Jessica Alexandra Gr..."
2659,Wyoming Renegades,1 hr. 13 min.,Fred F. Sears,1955,"Philip Carey, Phil Carey, William Bishop, Martha Hyer, Gene Evans, Douglas Kennedy"
2660,The Kane Files: Life Of Trial,1 hr. 31 min.,Benjamin Gourley,2010,"Drew Fuller, William Atherton, Ethan Embry, William Devane, Whitney Able, Eve Mauro"
2661,Assassin's Bullet,1 hr. 29 min.,Isaac Florentine,2012,"Christian Slater, Donald Sutherland, Elika Portnoy, Timothy Spall, Bashar Rahal, Valentin Ganev"
2662,The Raid: Redemption,1 hr. 40 min.,Gareth Evans,2012,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian, Pierre Gruno, Ray Sahetapy"
2663,La FlÌÈte ÌÊ six schtroumpfs (The Smurfs and the Magic Flute),1 hr. 14 min.,Eddie Lateste,1982,"Georges Atlas, Jacques Balutin, Angelo Bardi, Jacques Ciron, William Coryn, Ed Devereaux"
2664,Weekend,1 hr. 36 min.,Andrew Haigh,2011,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman, Johnny Wright, Loretto Murray"
2665,Freelancers,1 hr. 36 min.,Jessy Terrero,2012,"Robert De Niro, Dana Delany, Forest Whitaker, Beau Garrett, 50 Cent, Malcolm Goodwin"
2666,One in the Chamber,1 hr. 31 min.,William Kaufman,2012,"Cuba Gooding Jr., Dolph Lundgren, Billy Murray, Louis Mandylor, Claudia Bassols, Leo Gregory"
2667,Hell,1 hr. 26 min.,Tim Fehlbaum,2011,"Hannah Herzsprung, Lars Eidinger, Stipe Erceg, Lisa Vicari, Angela Winkler, Michael Kranz"
2668,Children Of The Hunt,1 hr. 32 min.,Matthew B. Moore,2009,"David Stevens, Paul Shaw, Darren Dalton, Crystal Largen, Alexander Isaiah Tho..."
2669,WWE: 50 Greatest Finishing Moves in WWE History,,Kevin Dunn (III),2012,"Kurt Angle, Rodney 'Yokozuna' An..., Steve Austin, Bob Backlund, David Bautista"
2670,"Captain Carey, U.S.A.",1 hr. 22 min.,Mitchell Leisen,1950,"Alan Ladd, Wanda Hendrix, Francis Lederer, Celia Lovsky, Angela Clarke, Richard Avonde"
2671,Sedona,1 hr. 30 min.,Tommy Stovall,2012,"Frances Fisher, Seth Peterson, Beth Grant, Matt Williamson, Christopher Atkins, Lin Shaye"
2672,The Pirates! Band of Misfits,1 hr. 28 min.,Peter Lord,2012,"Hugh Grant, Brendan Gleeson, Martin Freeman (II), David Tennant, Imelda Staunton, Brian Blessed"
2673,The Viral Factor,2 hr. 2 min.,Dane Lam,2012,"Jay Chou, Lin Peng, Nicholas Tse, Andy Tien, Crystal Lee, Liu Kai-Chi"
2674,Jersey Shore Shark Attack,1 hr. 27 min.,John Shepphird,2012,"Tony Sirico, Paul Sorvino, Jack Scalia, Joey Fatone, William Atherton, Vinny Guadagnino"
2675,Headhunters,1 hr. 41 min.,Morten Tyldum,2012,"Nikolaj Coster-Walda..., Aksel Hennie, Eivind Sander, Julie R Ì÷lgaard, SynnÌüve Macody Lund, Kyrre Haugen Sydness"
2676,Battleship,2 hr. 11 min.,Peter Berg,2012,"Taylor Kitsch, Alexander SkarsgÌ´rd, Rihanna, Brooklyn Decker, Tadanobu Asano, Hamish Linklater"
2677,White Vengeance,2 hr. 17 min.,Daniel Lee,2011,"Feng Shao Feng, Leon Lai, Shao-feng Feng, Liu Yifei, Zhang Hanyu, Anthony Wong"
2678,Safe,1 hr. 34 min.,Boaz Yakin,2012,"Catherine Chan, Jason Statham, Robert John Burke, James Hong, Anson Mount, Chris Sarandon"
2679,My Babysitter's a Vampire,1 hr. 25 min.,Bruce McDonald,2010,"Matthew Knight, Vanessa Morgan, Atticus Dean Mitchel..., Cameron Kennedy, Ari Cohen, Luke Bilyk"
2680,Piranha 3DD,1 hr. 23 min.,John Gulager,2012,"Danielle Panabaker, Matt Bush, Katrina Bowden, Jean-Luc Bilodeau, David Koechner, Chris Zylka"
2681,The Liquidator,1 hr. 44 min.,Jack Cardiff,1966,"Rod Taylor, Jill St. John, Trevor Howard, Akim Tamiroff, Wilfrid Hyde-White, David Tomlinson"
2682,Snow White and the Huntsman (Extended Version),2 hr. 12 min.,Rupert Sanders,2012,"Kristen Stewart, Charlize Theron, Peter Ferdinando, Chris Hemsworth, Sam Claflin, Sam Spruell"
2683,For Greater Glory,2 hr. 23 min.,Dean Wright,2012,"Andy Garcia, Oscar Isaac, Catalina Sandino Mor..., Santiago Cabrera, Ruben Blades, Bruce McGill"
2684,6 Bullets,1 hr. 55 min.,Ernie Barbarash,2012,"Jean-Claude Van Damm..., Joe Flanigan, Anna-Louise Plowman, Bianca Bree, Kristopher Van Varen..., Charlotte Beaumont"
2685,Sitting Target,1 hr. 33 min.,Douglas Hickox,1972,"Oliver Reed, Jill St. John, Ian McShane, Edward Woodward, Frank Finlay, Freddie Jones"
2686,The Wrath of God,1 hr. 51 min.,Ralph Nelson,1972,"Robert Mitchum, Frank Langella, Rita Hayworth, Victor Buono, John Colicos, Ken Hutchison"
2687,Dawn of the Dragonslayer,1 hr. 41 min.,Anne K. Black,2011,"Richard McWilliams (..., Nicola Posener, Philip Brodie, Maggie Daniels, Ian Cullen, Adam Johnson"
2688,Snow White and the Huntsman,2 hr. 8 min.,Rupert Sanders,2012,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin, Sam Spruell, Ian McShane"
2689,The Babymakers,1 hr. 33 min.,Jay Chandrasekhar,2012,"Paul Schneider, Olivia Munn, Kevin Heffernan, Wood Harris, Nat Faxon, Aisha Tyler"
2690,Bait,1 hr. 34 min.,Kimble Rendall,2012,"Xavier Samuel, Sharni Vinson, Julian McMahon, Phoebe Tonkin, Alexander Russell, Alex Russell"
2691,Swordsman Of Siena (La congiura dei dieci),1 hr. 37 min.,Baccio Bandini,1962,"Stewart Granger, Sylva Koscina, Christine Kaufmann, Riccardo Garrone, Alberto Lupo, Marina Berti"
2692,King Richard and the Crusaders,1 hr. 53 min.,David Butler (I),1954,"Rex Harrison, Laurence Harvey, Virginia Mayo, George Sanders, Robert Douglas, Michael Pate"
2693,The Revenant,1 hr. 57 min.,D. Kerry Prior,2012,"Chris Wylde, David Anders, Jace King, Louise Griffiths"
2694,New Moon,1 hr. 46 min.,Robert Z. Leonard,1940,"Jeanette MacDonald, Nelson Eddy, Mary Boland, George Zucco, H.B. Warner, Dick Purcell"
2695,The Scarlet Coat,1 hr. 41 min.,John Sturges,1955,"Cornel Wilde, Michael Wilding, George Sanders, Anne Francis, Robert Douglas, John McIntire"
2696,Resident Evil: Damnation,1 hr. 40 min.,Makoto Kamiya,2012,"Laura Bailey, D.C. Douglas, Roger Craig Smith, Alyson Court, Paul Mercier"
2697,Barricade,1 hr. 22 min.,Andrew Currie,2012,"Eric McCormack, Jody Thompson, Connor Dwelly, Ryan Grantham, Donnelly Rhodes, Eric Mcormick"
2698,After The Dawn,1 hr. 28 min.,Mitchel A. Jones,2012,"Nicole Kruex, Tommy Propson, Aaron Courteau, Charles Hubbell, Jim Westcott, Shane McCaffrey"
2699,"Batman: The Dark Knight Returns, Part 1",2 hr. 14 min.,Jay Oliva,2012,"Peter Weller, Ariel Winter, David Selby, Wade Williams, Michael McKean, Michael Emerson"
2700,Soldiers of Fortune,1 hr. 34 min.,Maxim Korostyshevsky,2012,"Christian Slater, Sean Bean, Ving Rhames, Dominic Monaghan, James Cromwell, Colm Meaney"
2701,FDR: American Badass!,1 hr. 32 min.,Garrett Brawith,2012,"Barry Bostwick, Lin Shaye, Bruce McGill, Ray Wise, Kevin Sorbo, Paul Ben Victor"
2702,Flesh Wounds,1 hr. 20 min.,Dan Garcia (II),2011,"Bokeem Woodbine, Heather Marie Marsde..., Kevin Sorbo, Kirk Kepper, John Edward Lee, Johnny Lee"
2703,Pagwidwin Sanai (Man of Vendetta),1 hr. 53 min.,Min-ho Woo,2010,"Kim Myung-min, So-hyun Kim, Byung-joon Lee, Joo-mi Park, Ki-joon Uhm, Karm Woo-sung"
2704,Nightscape: Dark Reign Of Thanatos,1 hr. 35 min.,Dom Lenoir,2012,"Henry Amphlett, Tania Baressi, Julian Lamoral-Rober..., Robin Schnepp, Sam Stevenson, Sam Wells"
2705,Any Last Words? (Last Words),1 hr. 30 min.,Vaughn Taylor,2012,"Scott Jefferies, Tom Lagleder, Paul Tinder, Vaughan Taylor, Dimitrius Pulido, Madison Tinder"
2706,The Flying Swords of Dragon Gate,2 hr. 1 min.,Hark Tsui,2012,"Jet Li, Xun Zhou, Louis Fan, Gwei Lunmei, Li Yuchun, Chris Miller (LI)"
2707,Iron Sky,1 hr. 32 min.,Timo Vuorensola,2012,"Julia Dietze, Christopher Kirby, GÌ¦tz Otto, Udo Kier, Peta Sergeant, Stephanie Paul"
2708,The Courier,1 hr. 37 min.,Hany Abu-Assad,2012,"Jeffrey Dean Morgan, Josie Ho, Til Schweiger, Mickey Rourke, Ajla Hodzic, Lili Taylor"
2709,Marvel's The Avengers,2 hr. 22 min.,Joss Whedon,2012,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner"
2710,Dragon Eyes,1 hr. 32 min.,John Hyams (II),2012,"Cung Le, Jean-Claude Van Damm..., Peter Weller, Crystal Mantecon, Dan Henderson, Gilbert Melendez"
2711,El Gringo,1 hr. 37 min.,Eduardo Rodriguez,2012,"Scott Adkins, Yvette Yates, Christian Slater, Israel Islas, Erando GonzÌÁlez, SofÌ_a Sisniega"
2712,The Phynx,1 hr. 32 min.,Lee H. Katzin,1970,"Ray Chippeway, Dennis Larden, Lonny Stevens, Lou Antonio, Mike Kellin, Michael Ansara"
2713,Prometheus,2 hr. 3 min.,Ridley Scott,2012,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce, Logan Marshall-Green"
2714,Legendary Amazons,1 hr. 48 min.,Frankie Chan,2011,"Cecilia Cheung, Liu Xiaoqing, Richie Ren, Pei-pei Cheng, Kathy Chow, Emily Chen"
2715,Rogue Saints,1 hr. 43 min.,Adam Lubanski,2012,"Bruce Weech, Deanna Sarkar, Jason Pead, John Wu, Paul Eenhoorn, Gavin Michaels"
2716,10 Years Later,1 hr. 38 min.,Aaron Michael Metchik,2012,"Rachel Boston, Jake Hoffman, Aaron Michael Metchi..., Kathleen Rose Perkin..., Senta Moses, James DeBello"
2717,Troubleshooter,1 hr. 40 min.,Hyeok-jae Kwon,2012,"Dal-su Oh, Jeong-jin Lee, Jin-mo Ju, Sul Kyung-Gu, Kyung-gu Sol, Sung-min Lee"
2718,Madagascar 3: Europe's Most Wanted,1 hr. 33 min.,Conrad Vernon,2012,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertain..."
2719,Secret of the Wings,1 hr. 32 min.,Bobs Gannaway,2012,"Mae Whitman, Anjelica Huston, Lucy Hale, Raven, Lucy Liu, Timothy Dalton"
2720,Conned,1 hr. 41 min.,Arthur Luhn,2012,"Wally Carlson, John Cleary, Rosa Maria Vazquez, Charlie Alejandro, Rudi Anna, Hilary Barraford"
2721,Freight,1 hr. 32 min.,Stuart St. Paul,2010,"Billy Murray, Laura Holly Aikman, Craig Fairbrass, Danny Midwinter, Luke Aikman, Sam Kennard"
2722,Abraham Lincoln: Vampire Hunter,1 hr. 45 min.,Timur Bekmambetov,2012,"Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winst..., Rufus Sewell, Marton Csokas"
