Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Optimizing Non-decomposable Measures with Deep Networks,"Amartya Sanyal, Pawan Kumar, Purushottam Kar, Sanjay Chawla, Fabrizio Sebastiani","31 January, 2018",,Active Exploration for Learning Symbolic Representations,"Garrett Andersen, George Konidaris",December 2017,Neurips 2017,0
General Fair Empirical Risk Minimization,"Luca Oneto, Michele Donini, Massimiliano Pontil","28 January, 2019",,On Misinformation Containment in Online Social Networks,"Amo Tong, Ding-Zhu Du, Weili Wu",December 2018,Neurips 2018,0
Exploration--Exploitation in MDPs with Options,"Ronan Fruit, Alessandro Lazaric","17 April, 2017",,Unifying Non-Maximum Likelihood Learning Objectives with Minimum KL Contraction,Siwei Lyu,December 2011,Neurips 2011,0
Free-Form Image Inpainting with Gated Convolution,"Jiahui Yu, Zhe Lin, Jimei Yang, Xiaohui Shen, Xin Lu, Thomas S. Huang","10 June, 2018",,Linear dynamical neural population models through nonlinear embeddings,"Yuanjun Gao, Evan W. Archer, Liam Paninski, John P. Cunningham",December 2016,Neurips 2016,0
Large Dimensional Analysis of Robust M-Estimators of Covariance with Outliers,"David Morales-Jimenez, Romain Couillet, Matthew R. McKay","4 March, 2015",,Spectral Methods for Learning Multivariate Latent Tree Structure,"Animashree Anandkumar, Kamalika Chaudhuri, Daniel J. Hsu, Sham M. Kakade, Le Song, Tong Zhang",December 2011,Neurips 2011,0
On Distributed Cooperative Decision-Making in Multiarmed Bandits,"Peter Landgren, Vaibhav Srivastava, Naomi Ehrich Leonard","16 May, 2016",,A framework for Multi-A(rmed)/B(andit) Testing with Online FDR Control,"Fanny Yang, Aaditya Ramdas, Kevin G. Jamieson, Martin J. Wainwright",December 2017,Neurips 2017,0
Semantic Classification of Tabular Datasets via Character-Level Convolutional Neural Networks,"Paul Azunre, Craig Corcoran, Numa Dhamani, Jeffrey Gleason, Garrett Honke, David Sullivan, Rebecca Ruppel, Sandeep Verma, Jonathon Morgan","24 January, 2019",,RenderNet: A deep convolutional network for differentiable rendering from 3D shapes,"Thu H. Nguyen-Phuoc, Chuan Li, Stephen Balaban, Yongliang Yang",December 2018,Neurips 2018,0
A Harmonic Extension Approach for Collaborative Ranking,"Da Kuang, Zuoqiang Shi, Stanley Osher, Andrea Bertozzi","16 February, 2016",,Testing for Differences in Gaussian Graphical Models: Applications to Brain Connectivity,"Eugene Belilovsky, Gal Varoquaux, Matthew B. Blaschko",December 2016,Neurips 2016,0
Quantized Frank-Wolfe: Communication-Efficient Distributed Optimization,"Mingrui Zhang, Lin Chen, Aryan Mokhtari, Hamed Hassani, Amin Karbasi","6 March, 2019",,Proximal Graphical Event Models,"Debarun Bhattacharjya, Dharmashankar Subramanian, Tian Gao",December 2018,Neurips 2018,0
Neural Tensor Factorization,"Xian Wu, Baoxu Shi, Yuxiao Dong, Chao Huang, Nitesh Chawla","12 February, 2018",,Precision and Recall for Time Series,"Nesime Tatbul, Tae Jun Lee, Stan Zdonik, Mejbah Alam, Justin Gottschlich",December 2018,Neurips 2018,0
Evolving Ensemble Fuzzy Classifier,"Mahardhika Pratama, Witold Pedrycz, Edwin Lughofer","18 May, 2017",,Re-evaluating evaluation,"David Balduzzi, Karl Tuyls, Julien Perolat, Thore Graepel",December 2018,Neurips 2018,0
A Deep Embedding Model for Co-occurrence Learning,"Yelong Shen, Ruoming Jin, Jianshu Chen, Xiaodong He, Jianfeng Gao, Li Deng","4 June, 2015",,Smoothed Gradients for Stochastic Variational Inference,"Stephan Mandt, David Blei",December 2014,Neurips 2014,0
Power Systems Data Fusion based on Belief Propagation,"Francesco Fusco, Seshu Tirupathi, Robert Gormally","24 May, 2017",,Variational Memory Addressing in Generative Models,"Jrg Bornschein, Andriy Mnih, Daniel Zoran, Danilo Jimenez Rezende",December 2017,Neurips 2017,0
Streaming Variational Inference for Bayesian Nonparametric Mixture Models,"Alex Tank, Nicholas J. Foti, Emily B. Fox","21 April, 2015",,Generalizing GANs: A Turing Perspective,"Roderich Gross, Yue Gu, Wei Li, Melvin Gauci",December 2017,Neurips 2017,0
Boosted Density Estimation Remastered,"Zac Cranko, Richard Nock","17 June, 2018",,On the Statistical Consistency of Plug-in Classifiers for Non-decomposable Performance Measures,"Harikrishna Narasimhan, Rohit Vaish, Shivani Agarwal",December 2014,Neurips 2014,0
Balancing New Against Old Information: The Role of Surprise in Learning,"Mohammadjavad Faraji, Kerstin Preuschoff, Wulfram Gerstner","1 March, 2017",,Confounding-Robust Policy Improvement,"Nathan Kallus, Angela Zhou",December 2018,Neurips 2018,0
Multivariate Extension of Matrix-based Renyi's ?-order Entropy Functional,"Shujian Yu, Luis Gonzalo Sanchez Giraldo, Robert Jenssen, Jose C. Principe","20 March, 2019",,Probing the Compositionality of Intuitive Functions,"Eric Schulz, Josh Tenenbaum, David K. Duvenaud, Maarten Speekenbrink, Samuel J. Gershman",December 2016,Neurips 2016,0
A Geometric Perspective on Optimal Representations for Reinforcement Learning,"Marc G. Bellemare, Will Dabney, Robert Dadashi, Adrien Ali Taiga, Pablo Samuel Castro, Nicolas Le Roux, Dale Schuurmans, Tor Lattimore, Clare Lyle","31 January, 2019",,"Multiplicative Weights Update with Constant Step-Size in Congestion Games: Convergence, Limit Cycles and Chaos","Gerasimos Palaiopanos, Ioannis Panageas, Georgios Piliouras",December 2017,Neurips 2017,0
Real-time Prediction of Intermediate-Horizon Automotive Collision Risk,"Blake Wulfe, Sunil Chintakindi, Sou-Cheng T. Choi, Rory Hartong-Redden, Anuradha Kodali, Mykel J. Kochenderfer","5 February, 2018",,The Price of Fair PCA: One Extra dimension,"Samira Samadi, Uthaipon Tantipongpipat, Jamie H. Morgenstern, Mohit Singh, Santosh Vempala",December 2018,Neurips 2018,0
Trusted Neural Networks for Safety-Constrained Autonomous Control,"Shalini Ghosh, Amaury Mercier, Dheeraj Pichapati, Susmit Jha, Vinod Yegneswaran, Patrick Lincoln","18 May, 2018",,Masked Autoregressive Flow for Density Estimation,"George Papamakarios, Theo Pavlakou, Iain Murray",December 2017,Neurips 2017,0
Unregularized Online Learning Algorithms with General Loss Functions,"Yiming Ying, Ding-Xuan Zhou","26 April, 2015",,Multivariate Dyadic Regression Trees for Sparse Learning Problems,"Han Liu, Xi Chen",December 2010,Neurips 2010,0
Censored Exploration and the Dark Pool Problem,"Kuzman Ganchev, Michael Kearns, Yuriy Nevmyvaka, Jennifer Wortman Vaughan","9 May, 2012",,Inferring Stimulus Selectivity from the Spatial Structure of Neural Network Dynamics,"Kanaka Rajan, L Abbott, Haim Sompolinsky",December 2010,Neurips 2010,0
Large Scale Local Online Similarity/Distance Learning Framework based on Passive/Aggressive,"Baida Hamdan, Davood Zabihzadeh, Monsefi Reza","5 April, 2018",,How Much Restricted Isometry is Needed In Nonconvex Matrix Recovery?,"Richard Zhang, Cedric Josz, Somayeh Sojoudi, Javad Lavaei",December 2018,Neurips 2018,0
Discriminative Modeling of Social Influence for Prediction and Explanation in Event Cascades,"Sandeep Soni, Shawn Ling Ramirez, Jacob Eisenstein","16 February, 2018",,Data Generation as Sequential Decision Making,"Philip Bachman, Doina Precup",December 2015,Neurips 2015,0
Mapping Tractography Across Subjects,"Thien Bao Nguyen, Emanuele Olivetti, Paolo Avesani","29 January, 2016",,Unifying Non-Maximum Likelihood Learning Objectives with Minimum KL Contraction,Siwei Lyu,December 2011,Neurips 2011,0
Short-distance commuters in the smart city,"Francisco Benita, Garvit Bansal, Georgios Piliouras, Bige Tuner","16 February, 2019",,Eliciting Categorical Data for Optimal Aggregation,"Chien-Ju Ho, Rafael Frongillo, Yiling Chen",December 2016,Neurips 2016,0
A Cost-Sensitive Deep Belief Network for Imbalanced Classification,"Chong Zhang, Kay Chen Tan, Haizhou Li, Geok Soon Hong","5 May, 2018",,Multiscale Dictionary Learning for Estimating Conditional Distributions,"Francesca Petralia, Joshua T. Vogelstein, David B. Dunson",December 2013,Neurips 2013,0
Kernel Adaptive Metropolis-Hastings,"Dino Sejdinovic, Heiko Strathmann, Maria Lomeli Garcia, Christophe Andrieu, Arthur Gretton","12 June, 2014",,Limitations on Variance-Reduction and Acceleration Schemes for Finite Sums Optimization,Yossi Arjevani,December 2017,Neurips 2017,0
Deep Transfer Learning: A new deep learning glitch classification method for advanced LIGO,"Daniel George, Hongyu Shen, E. A. Huerta","22 June, 2017",,Recurrently Controlled Recurrent Networks,"Yi Tay, Anh Tuan Luu, Siu Cheung Hui",December 2018,Neurips 2018,0
Day-ahead electricity price forecasting with high-dimensional structures: Univariate vs. multivariate modeling frameworks,"Florian Ziel, Rafal Weron","17 May, 2018","Energy Economics, 70 (2018), 396-420",Diffusion Approximations for Online Principal Component Estimation and Global Convergence,"Chris Junchi Li, Mengdi Wang, Han Liu, Tong Zhang",December 2017,Neurips 2017,0
Graph-to-Sequence Learning using Gated Graph Neural Networks,"Daniel Beck, Gholamreza Haffari, Trevor Cohn","26 June, 2018",,Critical initialisation for deep signal propagation in noisy rectifier neural networks,"Arnu Pretorius, Elan van Biljon, Steve Kroon, Herman Kamper",December 2018,Neurips 2018,0
Kernelized Locality-Sensitive Hashing for Semi-Supervised Agglomerative Clustering,"Boyi Xie, Shuheng Zheng","15 January, 2013",,Select and Sample - A Model of Efficient Neural Inference and Learning,"Jacquelyn A. Shelton, Abdul S. Sheikh, Pietro Berkes, Joerg Bornschein, Jrg Lcke",December 2011,Neurips 2011,0
Product Kernel Interpolation for Scalable Gaussian Processes,"Jacob R. Gardner, Geoff Pleiss, Ruihan Wu, Kilian Q. Weinberger, Andrew Gordon Wilson","24 February, 2018",,Binary Classification from Positive-Confidence Data,"Takashi Ishida, Gang Niu, Masashi Sugiyama",December 2018,Neurips 2018,0
Learning from Imprecise and Fuzzy Observations: Data Disambiguation through Generalized Loss Minimization,Eyke Hllermeier,"3 May, 2013","International Journal of Approximate Reasoning, 55(7):1519-1534, 2014",Associative Embedding: End-to-End Learning for Joint Detection and Grouping,"Alejandro Newell, Zhiao Huang, Jia Deng",December 2017,Neurips 2017,0
Convergence of Parameter Estimates for Regularized Mixed Linear Regression Models,"Taiyao Wang, Ioannis Ch. Paschalidis","21 March, 2019",,The Kernel Beta Process,"Lu Ren, Yingjian Wang, Lawrence Carin, David B. Dunson",December 2011,Neurips 2011,0
Comparing Fixed and Adaptive Computation Time for Recurrent Neural Networks,"Daniel Fojo, Vctor Campos, Xavier Giro-i-Nieto","21 March, 2018",,Norm matters: efficient and accurate normalization schemes in deep networks,"Elad Hoffer, Ron Banner, Itay Golan, Daniel Soudry",December 2018,Neurips 2018,0
Diabetic Retinopathy Detection via Deep Convolutional Networks for Discriminative Localization and Visual Explanation,"Zhiguang Wang, Jianbo Yang","3 April, 2017",,"Weighted Theta Functions and Embeddings with Applications to Max-Cut, Clustering and Summarization","Fredrik D. Johansson, Ankani Chattoraj, Chiranjib Bhattacharyya, Devdatt Dubhashi",December 2015,Neurips 2015,0
Learning to Design Circuits,"Hanrui Wang, Jiacheng Yang, Hae-Seung Lee, Song Han","17 January, 2019",,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,"Charles Ruizhongtai Qi, Li Yi, Hao Su, Leonidas J. Guibas",December 2017,Neurips 2017,0
Estimating Time-varying Brain Connectivity Networks from Functional MRI Time Series,"Ricardo Pio Monti, Peter Hellyer, David Sharp, Robert Leech, Christoforos Anagnostopoulos, Giovanni Montana","13 April, 2014",,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Sepp Hochreiter",December 2017,Neurips 2017,0
BitSplit-Net: Multi-bit Deep Neural Network with Bitwise Activation Function,"Hyungjun Kim, Yulhwa Kim, Sungju Ryu, Jae-Joon Kim","23 March, 2019",,Riemannian approach to batch normalization,"Minhyung Cho, Jaehyung Lee",December 2017,Neurips 2017,0
Hierarchical Compound Poisson Factorization,"Mehmet E. Basbug, Barbara E. Engelhardt","26 May, 2016",,Gradient-based Sampling: An Adaptive Importance Sampling for Least-squares,Rong Zhu,December 2016,Neurips 2016,0
Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,"Tejas D. Kulkarni, Karthik R. Narasimhan, Ardavan Saeedi, Joshua B. Tenenbaum","31 May, 2016",,Dynamic Network Surgery for Efficient DNNs,"Yiwen Guo, Anbang Yao, Yurong Chen",December 2016,Neurips 2016,0
A Feature Selection Method for Multivariate Performance Measures,"Qi Mao, Ivor W. Tsang","4 May, 2013","IEEE Transactions on Pattern Analysis and Machine Intelligence, 2012",Fast Distributed Submodular Cover: Public-Private Data Summarization,"Baharan Mirzasoleiman, Morteza Zadimoghaddam, Amin Karbasi",December 2016,Neurips 2016,0
2-D Embedding of Large and High-dimensional Data with Minimal Memory and Computational Time Requirements,"Witold Dzwinel, Rafal Wcislo, Stan Matwin","4 February, 2019",,Minimax Estimation of Neural Net Distance,"Kaiyi Ji, Yingbin Liang",December 2018,Neurips 2018,0
Supervector Compression Strategies to Speed up I-Vector System Development,"Ville Vestman, Tomi Kinnunen","3 May, 2018",,Low Rank Approximation Lower Bounds in Row-Update Streams,David Woodruff,December 2014,Neurips 2014,0
Track Xplorer: A System for Visual Analysis of Sensor-based Motor Activity Predictions,"Marco Cavallo, a?atay Demiralp","24 June, 2018",,Fitting Low-Rank Tensors in Constant Time,"Kohei Hayashi, Yuichi Yoshida",December 2017,Neurips 2017,0
BPR: Bayesian Personalized Ranking from Implicit Feedback,"Steffen Rendle, Christoph Freudenthaler, Zeno Gantner, Lars Schmidt-Thieme","9 May, 2012",,Latent Maximum Margin Clustering,"Guang-Tong Zhou, Tian Lan, Arash Vahdat, Greg Mori",December 2013,Neurips 2013,0
Provable Inductive Matrix Completion,"Prateek Jain, Inderjit S. Dhillon","3 June, 2013",,Deep Exploration via Bootstrapped DQN,"Ian Osband, Charles Blundell, Alexander Pritzel, Benjamin Van Roy",December 2016,Neurips 2016,0
Mean Field Limit of the Learning Dynamics of Multilayer Neural Networks,Phan-Minh Nguyen,"7 February, 2019",,Dual-Space Analysis of the Sparse Linear Model,"Yi Wu, David P. Wipf",December 2012,Neurips 2012,0
Coordinated Online Learning With Applications to Learning User Preferences,"Christoph Hirnschall, Adish Singla, Sebastian Tschiatschek, Andreas Krause","9 February, 2017",,On the Optimization Landscape of Tensor Decompositions,"Rong Ge, Tengyu Ma",December 2017,Neurips 2017,0
"Building Bayesian Neural Networks with Blocks: On Structure, Interpretability and Uncertainty","Hao Henry Zhou, Yunyang Xiong, Vikas Singh","9 June, 2018",,Stochastic variational inference for hidden Markov models,"Nick Foti, Jason Xu, Dillon Laird, Emily Fox",December 2014,Neurips 2014,0
Stochastic Portfolio Theory: A Machine Learning Perspective,"Yves-Laurent Kom Samo, Alexander Vervuurt","9 May, 2016",,Distributed Representations of Words and Phrases and their Compositionality,"Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg S. Corrado, Jeff Dean",December 2013,Neurips 2013,0
Near-optimal sample compression for nearest neighbors,"Lee-Ad Gottlieb, Aryeh Kontorovich, Pinhas Nisnevitch","26 March, 2018",,Probabilistic n-Choose-k Models for Classification and Ranking,"Kevin Swersky, Brendan J. Frey, Daniel Tarlow, Richard S. Zemel, Ryan P. Adams",December 2012,Neurips 2012,0
A simpler condition for consistency of a kernel independence test,Arthur Gretton,"24 January, 2015",,Compressive spectral embedding: sidestepping the SVD,"Dinesh Ramasamy, Upamanyu Madhow",December 2015,Neurips 2015,0
The embedding dimension of Laplacian eigenfunction maps,Jonathan Bates,"4 May, 2016",Appl. Comput. Harmon. Anal. 37 (3) (2014) 516-530,Learning Theory and Algorithms for Forecasting Non-stationary Time Series,"Vitaly Kuznetsov, Mehryar Mohri",December 2015,Neurips 2015,0
Learning Compositional Visual Concepts with Mutual Consistency,"Yunye Gong, Srikrishna Karanam, Ziyan Wu, Kuan-Chuan Peng, Jan Ernst, Peter C. Doerschuk","28 March, 2018",,Efficient Sampling for Learning Sparse Additive Models in High Dimensions,"Hemant Tyagi, Bernd Grtner, Andreas Krause",December 2014,Neurips 2014,0
Improving Review Representations with User Attention and Product Attention for Sentiment Classification,"Zhen Wu, Xin-Yu Dai, Cunyan Yin, Shujian Huang, Jiajun Chen","24 January, 2018",,Estimating Accuracy from Unlabeled Data: A Probabilistic Logic Approach,"Emmanouil Platanios, Hoifung Poon, Tom M. Mitchell, Eric J. Horvitz",December 2017,Neurips 2017,0
Fast Hyperparameter Tuning using Bayesian Optimization with Directional Derivatives,"Tinu Theckel Joy, Santu Rana, Sunil Gupta, Svetha Venkatesh","6 February, 2019",,Feature Set Embedding for Incomplete Data,"David Grangier, Iain Melvin",December 2010,Neurips 2010,0
On the Generalization Ability of Online Learning Algorithms for Pairwise Loss Functions,"Purushottam Kar, Bharath K Sriperumbudur, Prateek Jain, Harish C Karnick","11 May, 2013","Journal of Machine Learning Research, W&CP 28(3) (2013)",Model-Agnostic Private Learning,"Raef Bassily, Abhradeep Guha Thakurta, Om Dipakbhai Thakkar",December 2018,Neurips 2018,0
Predicting Risk-of-Readmission for Congestive Heart Failure Patients: A Multi-Layer Approach,"Kiyana Zolfaghar, Nele Verbiest, Jayshree Agarwal, Naren Meadem, Si-Chi Chin, Senjuti Basu Roy, Ankur Teredesai, David Hazel, Paul Amoroso, Lester Reed","9 June, 2013",,Clustering Stable Instances of Euclidean k-means.,"Aravindan Vijayaraghavan, Abhratanu Dutta, Alex Wang",December 2017,Neurips 2017,0
