ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
1331,Draper,Draper High Contrast Grey Targa Electric Screen With Quiet Motor - HDTV 106 diagonal,882.5,,116305Q,62.0,
1332,Draper,Draper HiDef Grey Clarion Fixed Frame Screen - 7 6 diagonal NTSC Format,824.99,,252099,45.0,
1333,Draper,Draper Vortex Rear Projection Screen with System 200 Black Frame - 92 diagonal HDTV Format,9137.2,,125075,230.0,
1334,Draper,Draper AT Grey Access MultiView Series E Acoustically Transparent Screen - 109 diagonal Widescreen Format,4375.95,,106062,96.0,
1335,Canon,Canon CLI-226 Black Ink Tank,0.0,The Canon CLI-226 Black Ink Tank provides excellent printing with ChromaLife100 technology.,,,4.5 x 3.6 x 0.9 inches
1336,HON,HON Company Laminate Angled Center Drawer 22w x 15-3 8d x 2-1 2h Henna Cherry,85.39,,,11.0,22.0 x 15.375 x 2.5 inches
1337,Case Logic,Case Logic 16.2  Laptop Case Gray,27.8,The Case Logic ULA-116 16.2  Laptop Case is designed and constructed to gracefully accommodate a laptop s power source and travel mouse. The front pockets expand when filled to reveal a contrasting lining color through strategically placed slits in exterior fabric. An innovative 3-way strap management system allows case to be carried over the shoulder across the body messenger style or shortened to hand strap length. Includes a pocket for a USB flash drive. It is slim enough to slip into a larger bag on longer trips.,ULA-116GRAY,1.25,16.54 x 14.76 x 3.74 inches
1338,Kroo,Kroo iPad iCap Black,28.88,Aerospace technology meets the Apple iPad. The  Kroo iPad iCap is protective portable and lightweight. An EVA shell fits your iPad while a tough flexible reinforced middle layer guards against rough handling and impacts. Easy to stash and easy to carry the Mivizu Kroo iPad iCap also makes airport security check points quick and easy.,11929,1.0,12.0 x 10.0 x 1.5 inches
1339,,Smead 5  Expansion End Tab File Pockets w Tyvek Straight Letter Manila 10 Box,37.94,Protect and organize files and folders with Smead 5  Expansion End Tab File Pockets are prefect for items that cannot be hole punched.,75174,2.599,
1340,General Tools,General Tools 1261-2 3 8-Inch Grommet Refills - 24 Pack,7.99,,1261-2,0.1518,
1341,CTA,CTA Mini Battery Chargers for Nikon EN-EL9 Digital Cameras,15.98,This CTA mini rapid charger plugs directly in to your wall outlet and charges your digital camera or camcorder batteries in approximately 60 to 90 minutes. Its unique flat pin foldable design allows easy storage and makes it the most compact battery charger on the market.,MR-ENEL9,0.3063,8.5 x 3.5 x 2.75 inches
1342,Stanley,Stanley MaxSteel Tape Rules - 5 8 x12 c.g. power meas,17.99,,680-33-691,0.42,
1343,V7,V7 3 CAT6 Snagless Molded Network Patch Cable Black,4.88,V7 s CAT6 Snagless Molded Network Patch Cable features more stringent specifications for reducing cross talk and system noise. It maximizes your Local Area Network LAN speed and is perfect for higher bandwidth applications such as VoIP or video applications.,V7N2C6-03F-BLKS,0.2,8.0 x 6.0 x 1.0 inches
1344,Philips,Philips 46  Class LCD 1080p 120Hz HDTV 46PFL3706,749.99,Regardless of what you are watching experience great picture and sound performance with your Philips 46    Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities.,46PFL3706/F7,61.95,44.11 x 27.1 x 4.33 inches
1345,Sony,Sony 8GB Class 4 SD Memory Card,0.0,Easily store and transfer your high-quality photos videos music and more with this Sony 8GB SD memory card.,SF8N4/TQP,,6.1 x 4.92 x 0.354 inches
1346,INNOVERA,Innovera Softskin Gel Wrist Rest Black,11.25,The Innovera Softskin Gel Wrist Rest is surfaced with an innovative textile that is softer than fabric smoother than gel and supports and protects against numbness in the fingers.,51452,0.382,
1347,Encore,Mavis Beacon Teaches Typing Platinum 20,24.98,Maximize your productivity with Mavis Beacon Teaches Typing Platinum 20 The most comprehensive typing instruction system now includes updated learning tools an improved user interface and even more features to guarantee typing improvements in just 2 weeks. Improve speed and accuracy with detailed assessments customized lessons and skill-building games. In addition to Mavis Beacon s personal typing instruction detailed reports illustrate overall progress and assist in identifying specific strengths and weaknesses. Hard work is rewarded with   and fun arcade-style games enrich the learning experience. Redesigned with advanced technology and updated with even more features.,15060,0.3,7.56 x 5.28 x 1.34 inches
1348,Zoom,Zoom Telephonics V.92 LP PCI Express Modem,35.0,The Zoom Telephonics V.92 LP PCI Express Modem is an internal fax modem which connects to a Windows computer through a PCI Express slot. The Zoom Telephonics V.92 LP PCI Express Modem is a single lane x1 PCI Express card for a standard format computer and will fit into any available PCI Express slot regardless of the lane size. It has a low profile bracket for installation of the modem in a low-profile desktop computer.,30370000G,0.35,7.0 x 5.3 x 1.2 inches
1349,Buffalo Technology,Buffalo Technology LinkStation Duo Dual-Bay 1.0 TB 1 x 1TB Network Attatched Storage LS-WX1.0TL 1D,179.82,The Buffalo Technology 1TB LinkStation Duo is a high performance dependable and affordable shared network storage solution with easily accessible drives.,LSWX10TL1D,4.45,10.7 x 8.9 x 4.7 inches
1350,Night Owl,Night Owl Security Products CCD Wired Color Security Camera with 60 Cable,67.82,The Night Owl Security Products CCD Wired Color Security Camera includes 60-feet of cable and provides night vision up to 45-feet. This security camera is compatible with all Night Owl Systems.,CAM-S420-245A,2.8,13.0 x 11.5 x 5.5 inches
1351,Clover Electronics,Clover 19  LCD with 8-Channel DVR System with H.264 Video Compression,1079.73,Take control of your video footage with the Clover 19  LCD with 8-Channel DVR System with H.264 Video Compression. Keep tabs on what s happening all around your business or home.,TBUN0830,35.35,20.25 x 17.0 x 16.0 inches
1352,Lenovo,Lenovo Black 15.6  IdeaPad Z565-43113HU Laptop PC with AMD Turion II P560 Processor and Windows 7 Home Premium 64-bit,518.0,This multimedia laptop also comes with OneKey Theater to deliver sharp and vibrant video with stunning clarity on a 15.6  HD widescreen. The IdeaPad Z565 also features a five in 1 card reader a 320GB hard drive 4GB RAM and much more.,43113HU,9.0,18.5 x 13.6 x 3.5 inches
1353,Sceptre,Sceptre 24  ultra-slim E240RC-FHD,179.0,Great for a bedroom the Sceptre E240RC-FHD 24  LED HDTV. Contact your local cable or satellite TV provider for details on how to upgrade.,E240RC-FHD,15.81,22.5 x 16.9 x 7.7 inches
1354,Kingston,Kingston HyperX Grey Series 4GB 2 x 2GB DDR3 SDRAM 1600 240-Pin Desktop Memory Model,49.99,Kingston is the industry leader in PC memory. Our line of Hyperx desktop memory is ideal for PC enthusiasts and gamers.,KHX1600C9D3X2K2/4GX,0.24,6.75 x 3.75 x 0.55 inches
1355,Tribeca,Virginia Tech Hokies iPhone 4 Case Black Shell,29.99,,FVA3168,,
1356,Coolermaster,Cooler Master Vortex Plus CPU Cooler,30.0,The Vortex Plus from Cooler Master is a low profile CPU cooler with compact size and uncompromising cooling efficiency. The compact profile design is best suited for a HTPC chassis or any chassis with slim width and limited space. The heatsink comes with four heatpipes and a direct contact base to maximize the heat conductivity and dissipation efficiency. Plus the Vortex Plus features a balanced PWM fan that works to provide high airflow under high RPM mode.,RRVTPS28PKR1,1.25,5.9 x 5.0 x 4.8 inches
1357,ViewSonic,ViewSonic PJD7383 DLP Projector,729.0,The ViewSonic PJD7383 is an advanced ultra short throw DLP projector which includes BrilliantColor technology to produce more vibrant colors while the high brightness and contrast ratio make this projector shine in virtually any lighting situation. With its ultra short throw lens it can project an 81-inch image from just three-feet. The PJD7383 delivers 3000 lumens 3000 1 dynamic contrast ratio with a 1024 x 768 XGA native resolution and has a wide range of input options including dual RGB ports Ethernet RJ45 USB and wi-fi with optional adapter . The PJD7383 can be displayed and managed over the network through its advanced management software. The ViewSonic PJD7383 is the ideal projector for both businesses and schools.,PJD7383,12.1,15.4 x 15.0 x 8.3 inches
1358,Digital Innovations,Micro Innovations 4230300 EasyGlide Travel Wired Optical Mouse,10.88,The Micro Innovations 4230300 EasyGlide Travel Wired Optical Mouse features rubberized grips for comfort and accuracy. Contour design is comfortable for right and left handed users. The retractable cable provides cord management for fast storage and easy portability.,4230300,1.0,7.5 x 6.1 x 1.6 inches
1359,,Safco Onyx Mesh Desk Organizer 8 Sections 11 3 8w x 9 1 2d x 13h Black,47.94,The Safco Onyx Mesh Desk Organizer with eight sections works great to keep on-going projects at hand. This attractive mesh organizer is multi-functional. Five sections hold file folders slim binders and books. Three horizontal sections accommodate any letter size document. The Safco Onyx Mesh Desk Organizer is a great solution to your desktop needs.,3266BL,2.0,
1360,Sony,Sony BCVW1 AC Charger for W Series Battery,44.88,Don t be left without power. Ideal for traveling with your DSLR or NEX camera the BC-VW1 AC charger gets you back to shooting with quick charges for your W Series battery.,BCVW1,0.5,8.0 x 4.8 x 1.0 inches
1361,iLuv,iLuv Portfolio Case Stand for iPad 2 Black,35.88,The iLuv Portfolio Case Stand for iPad 2 is a sleek stylish and durable leatherette portfolio case with a stand. It is perfect fit for the iPad 2 and your on-the-go lifestyle. It protects your iPad 2 from scratches and scrapes.,ICC816BLK,0.56,11.0 x 7.75 x 1.6 inches
1362,LG,LG 23  LED TV Monitor M2380D Black,349.0,M80D Series is the first TV Monitor that is supported by LG s latest LED technology. If you are attracted to M80D series you are probably an adventurous and demanding user. You want to enjoy HDTV and also watch Blu-ray DVD and DivX in the optimal picture quality.,M2380D,13.7,21.5 x 16.4 x 7.6 inches
1363,,Cardinal Zippered Binder Pockets 8-1 2 x 11 Clear 3 Pack,5.27,Stay organized with the Cardinal 8-1 2  Zippered Binder Pockets. These pockets expand to hold up to 100 sheets of paper.,,,
1364,Panasonic,Panasonic SLIMZ Over-Ear Headphone Black Pink RP-HX40-PK,34.88,The Panasonic SLIMZ Over-Ear Headphone features a Hybrid Diaphragm that provides power bass and clear treble. The fold-flat design makes them very easy to take wherever you go.,RP-HX40-PK,1.0,9.1 x 7.2 x 1.4 inches
1365,HP,HP Black Pavilion Slimline s5-1020 Desktop PC with Intel Pentium E6800 Processor 1TB Hard Drive and Windows 7 Home Premium Monitor Not Included,429.0,The HP Slimline s5-1020 offers a powerful PC where space is at a premium. Perfect for a small space or dorm room it can handle all your computing needs like e-mail word processing and more. The Slimline is flexible so you can easily add or upgrade features and functions. The all-new HP Pavilion Slimline series offers an elegant sophisticated look and feel that fits almost any environment.,HP s5-1020,21.58,15.43 x 12.28 x 6.21 inches
1366,Tribeca,Los Angeles Lakers iPod Touch 4G Hard Case,29.99,,FVA4614,,
1367,Belkin,Belkin Home Office Series 8-Outlet Surge Protector w Coaxial Protection,17.88,This Belkin Home Office Series Surge Protector provides premium power protection for both home and professional workstations as well as all connected devices.,BE108230-06,2.1,12.4 x 6.88 x 2.17 inches
1368,Razer,Razer Lycosa Gaming Keyboard,67.84,With its non-slip rubber finish the Razer Lycosa offers optimum tactile comfort and features backlight illumination with a WASD cluster lighting option.,LYCOSA,3.5,18.46 x 8.7 x 0.59 inches
1369,Rocstor,Rocstor G222R2-01 Rocpro 850 External Hard Drive,159.98,The Rocstor G222R2-01 Rocpro 850 External Hard Drive delivers extraordinary performance and reliability for both Mac and PC users. Specifically designed for demanding audio video professionals the new Rocpro 850 contains a fast SATA high capacity 3.5  drive mechanism in a stylish and unique aluminum case that can be stacked or mounted vertically. With its built-in power supply fan-less and quite operation the Rocpro 850 can be easily moved from one desktop environment to another using the provided carrying case.,G222R2-01,4.95,8.66 x 5.79 x 1.61 inches
1370,Apricorn,Apricorn D809WCDEL60 80GB Dell Latitude   Inspiron Series Notebook Hard Drive,98.84,In the 2.5-inch form factor that today s sleek notebooks demand Apricorn hard drives go well beyond the competition. Our extensive product line features the industry s most current capacities which means you ll always find a drive large enough to meet the demands of your storage-intensive applications. With an Apricorn hard drive you ll have industry-leading performance rigorous quality control comprehensive testing guaranteed compatibility and a full 3-year warranty. It s easy to see that Apricorn is the ideal source for all your notebook storage needs.,D809WCDEL60,0.65,3.94 x 2.75 x 0.37 inches
1371,ZyXEL,Zyxel WAP3205 Wireless N Access Point,49.88,The ZyXEL WAP3205 brings you a faster wireless connection than the existing 11g networks. With a data transfer rate of up to 300 Mbps which is 6 times faster than 11g you can enjoy high-speed network connection and high-definition video streaming no matter where you are at home and better yet it also works with your existing 802.11b and 802.11g network.,WAP3205,1.65,9.72 x 8.19 x 2.43 inches
1372,LIFEWORKS,LifeWorks Optical Netbook Mouse in Red IHM153OR,19.88,With the LifeWorks Optical Netbook Mouse you ll be surfing the web with ease. Optical technology allows it to glide smoothly across your desktop surface and its retractable USB cable means it packs up easily   perfect for your on-the-go lifestyle.,IHM153OR,0.2,6.2 x 4.2 x 1.6 inches
