id,title,time,director,year,star,cost
3134,Life As We Know It (2010)    ,"1 hour, 55 minutes",Greg Berlanti,2010,"Katherine Heigl, Josh Duhamel","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3135,Moneyball    ,"2 hours, 14 minutes",Bennett Miller,2011,"Brad Pitt, Jonah Hill","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3136,Catch Me If You Can    ,"2 hours, 21 minutes",Steven Spielberg,2002,"Leonardo DiCaprio, Tom Hanks","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3137,Gilda [Blu-ray] , 110 minutes ,Charles Vidor,1916,Rita Hayworth,$35.96 
3138,The Birds , 120 minutes ,Alfred Hitchcock,2012,Tippi Hedren,$8.41 
3139,The Godfather Part II    ,"3 hours, 23 minutes",Francis Ford Coppola,1974,"Al Pacino, Robert Duvall","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3140,Sophie's Choice    ,"2 hours, 32 minutes",Alan J. Pakula,1982,"Meryl Streep, Kevin Kline","Rent SD $2.99,Buy SD $7.99,"
3141,The Shawshank Redemption [Blu-ray] , 142 minutes ,Frank Darabont,2010,Tim Robbins,$6.99 
3142,The Last Hit    ,"1 hour, 30 minutes",Michael Glier,2015,"Louis Pappas, Maya Juchtman","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3143,The Oxford Murders    ,"1 hour, 49 minutes",Álex de la Iglesia,2010,"Elijah Wood, John Hurt","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3144,The Way , 121 minutes ,Emilio Estevez,2012,Emilio Estevez,$6.40 
3145,Jaws    ,"2 hours, 5 minutes",Steven Spielberg,1975,"Roy Scheider, Robert Shaw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3146,I Spit On Your Grave III: Vengeance Is Mine    ,"1 hour, 32 minutes",R.D. Braunstein,2015,"Sarah Butler,Michelle Hurd","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $12.99,"
3147,The New Year    ,"1 hour, 37 minutes",Brett Haley,2012,"Trieste Kelly Dunn, Ryan Hunter","Buy SD $9.99,"
3148,Dean Teaster's Ghost Town    ,"1 hour, 56 minutes",Jeff Kennedy,2008,"Herbert 'Cowboy' Coward, Bill McKinney","Buy SD $4.99,"
3149,Flesh and Bone    ,"2 hours, 7 minutes",Steve Kloves,1993,"Julia McNeal, Ron Kuhlman","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3150,What Katy Did    ,"1 hour, 29 minutes",Stacey Stewart Curtis,2013,"Alison Pill, Megan Follows",
3151,Elysium (UltraViolet Digital Copy) [Blu-ray] , 110 minutes ,Neill Blomkamp,2013,Matt Damon,$7.00 
3152,Interstellar (Blu-ray) ,,Christopher Nolan,2015,Matthew McConaughey,$11.99 
3153,Right to Believe    ,"1 hour, 52 minutes",Chip Rossetti,2014,"Christopher Hunt, Timothy Paul Taylor","Buy HD $10.99,Buy SD $9.99,"
3154,You Will Be Mine (English Subtitled)   ,"1 hour, 36 minutes",Sophie Laloy,2009,"Judith Davis, Marc Chapiteau","Buy SD $9.99,"
3155,Betrayal (aka Lady Jayne: Killer)    ,"1 hour, 36 minutes",Mark L. Lester,2003,"Erika Eleniak, Adam Baldwin","Buy SD $9.99,"
3156,Schindler's List    ,"3 hours, 15 minutes",Steven Spielberg,1993,"Liam Neeson, Ben Kingsley","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3157,The Exorcist: Director's Cut (Extended Edition) , 132 minutes ,William Friedkin,2010,Ellen Burstyn,$3.99 
3158,Live Die Repeat: Edge of Tomorrow (DVD) , 113 minutes ,Doug Liman,2014,Tom Cruise,$8.06 
3159,Evelyn (English Subtitled)   ,"1 hour, 35 minutes",Isabel de Ocampo,2012,"Cindy Díaz, Sara Bibang","Buy SD $9.99,"
3160,(500) Days Of Summer    ,"1 hour, 36 minutes",Marc Webb,2009,"Joseph Gordon-Levitt, Zooey Deschanel","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3161,The Craft    ,"1 hour, 41 minutes",Andrew Fleming,1996,"Robin Tunney, Fairuza Balk","Buy HD $12.99,Buy SD $7.99,"
3162,Beyond the Boundary: Complete Collection [Blu-ray] , 300 minutes ,Taichi Ishidate,2015,Kenn,$59.83 
3163,Crazy Murder    ,"1 hour, 38 minutes",Doug Gerber,2015,"Kevin Kenny,Mark Hunt","Rent HD $3.99,Rent SD $3.99,Buy HD $10.99,Buy SD $7.99,"
3164,Seven (1995)   ,"2 hours, 7 minutes",David Fincher,1995,"Morgan Freeman, Andrew Kevin Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3165,One Last Dance    ,"1 hour, 41 minutes",Lisa Niemi,2003,"Patrick Swayze, Lisa Niemi","Rent SD $2.99,Buy HD $10.99,Buy SD $4.99,"
3166,The Great Gatsby (Two-Disc Special Edition DVD) , 142 minutes ,Baz Luhrmann,2013,Leonardo DiCaprio,$6.85 
3167,Bury My Heart at Wounded Knee    ,"2 hours, 13 minutes",Yves Simoneau,2007,"Anna Paquin, Chevez Ezaneh","Buy HD $11.99,Buy SD $9.99,"
3168,The Twilight Saga: Breaking Dawn - Part 2 [DVD + Digital Copy + UltraViolet] , 115 minutes ,Bill Condon,2013,Kristen Stewart,$7.50 
3169,Senior Project    ,"1 hour, 24 minutes",Nadine Truong,2015,"Ryan Potter, Vanessa Marano","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3170,Rear Window , 115 minutes ,Alfred Hitchcock,2012,James Stewart,$7.50 
3171,Gung Ho    ,"1 hour, 27 minutes",Ray Enright,1943,"Randolph Scott, Alan Curtis","Buy SD $4.99,"
3172,The Hunting Ground    ,"1 hour, 44 minutes",Kirby Dick,2015,"Kirby Dick,Amy Ziering","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3173,Vegeterian   ,"1 hour, 42 minutes",Woo-Seong Lim,1999,"Min-seo Chae, Hyun-sung Kim",
3174,The Cat and the Canary    ,"1 hour, 20 minutes",Paul Leni,1927,"Laura La Plante, Creighton Hale","Buy SD $7.99,"
3175,Pink Floyd: The Wall (25th Anniversary Deluxe Edition) , 95 minutes ,Alan Parker,2005,Bob Geldof,$15.29 
3176,Random Encounters    ,"1 hour, 35 minutes",Boris Undorf,2013,"Sean Young, Meghan Markle","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3177,4 Nights In The Hamptons    ,"1 hour, 24 minutes",Michael Knowles,2015,"Michael Knowles, Jilon VanOver","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3178,Temple Grandin , 109 minutes ,Mick Jackson,2010,Claire Danes,$9.14 
3179,Citizenfour    ,"1 hour, 54 minutes",Laura Poitras,2014,"Edward Snowden, Glenn Greenwald","Buy HD $19.99,Buy SD $14.99,"
3180,People Places Things    ,"1 hour, 27 minutes",Jim Strouse,2015,"Jemaine Clement,Regina Hall","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $12.99,"
3181,Saving Mr. Banks , 125 minutes ,John Lee Hancock,2014,Emma Thompson,$13.99 
3182,The Social Network    ,"2 hours, 1 minute",David Fincher,2010,"Jesse Eisenberg, Rooney Mara","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3183,The Mighty    ,"1 hour, 41 minutes",Peter Chelsom,1998,"Harry Dean Stanton, Gena Rowlands","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3184,One Thing She Doesn't Have (English Subtitled)   ,"1 hour, 36 minutes",Yoo Jung-hwan,2014,"Cha Ye-ryun,Jo Hyun-jae","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3185,Silver Shoes , 73 minutes ,Jennifer Lyon Bell,2015,Liandra Dahl,$22.46 
3186,And the Band Played On    ,"2 hours, 21 minutes",Roger Spottiswoode,1993,"Matthew Modine, Alan Alda","Buy HD $11.99,Buy SD $9.99,"
3187,Zero Dark Thirty    ,"2 hours, 37 minutes",Kathryn Bigelow,2012,"Jason Clarke, Reda Kateb","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3188,The Good Witch's Garden    ,"1 hour, 27 minutes",Craig Pryce,2009,"Catherine Bell, Chris Potter","Buy HD $4.99,Buy SD $3.99,"
3189,Hard Times    ,"1 hour, 34 minutes",Walter Hill,1975,"Charles Bronson, James Coburn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3190,Villa Des Roses    ,"1 hour, 55 minutes",Frank Van Passel,2002,"Julie Delpy, Shaun Dingwall","Buy SD $9.99,"
3191,Mama    ,"1 hour, 41 minutes",Andrés Muschietti,2013,"Jessica Chastain, Nikolaj Coster-Waldau","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $7.99,"
3192,Burlesque , 119 minutes ,Steve Antin,2011,Cher,$4.99 
3193,Under the Skin [Blu-ray] , 108 minutes ,Jonathan Glazer,2014,Scarlett Johansson,$9.99 
3194,The Girl With The Dragon Tattoo    ,"2 hours, 39 minutes",David Fincher,2011,"Daniel Craig, Rooney Mara","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3195,Wolf Children (Blu-ray/DVD Combo) , 117 minutes ,Mike McFarland,2013,Colleen Clinkenbeard,$17.99 
3196,Main Street    ,"1 hour, 35 minutes",John Doyle,2011,"Colin Firth, Ellen Burstyn","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3197,Good Kill    ,"1 hour, 43 minutes",Andrew Niccol,2015,"Fatima El Bahraquy, El Khttabi Abdelouahab","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
3198,Minority Report    ,"2 hours, 26 minutes",Steven Spielberg,2002,"Tom Cruise, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3199,Veronica Mars    ,"1 hour, 48 minutes",Rob Thomas,2014,"Kristen Bell, Jason Dohring","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3200,On The Shore (English Subtitled)   ,"1 hour, 33 minutes",Julien Donada,2012,"Daniel Duval, Chiara Caselli","Buy SD $6.99,"
3201,A Big Love Story    ,"1 hour, 32 minutes",Ryan Sage,2013,"Robbie Kaller, Jillian Leigh","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3202,People Will Talk    ,"1 hour, 51 minutes",Joseph L. Mankiewicz,1951,"Cary Grant, Jeanne Crain","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3203,Lord of the Rings: The Return of the King (Extended Edition)    ,"4 hours, 24 minutes",Peter Jackson,2004,"Noel Appleby, Ali Astin","Buy HD $17.99,Buy SD $9.99,"
3204,Lone Survivor , 122 minutes ,Peter Berg,2014,Mark Wahlberg,$9.50 
3205,The Blind Side    ,"2 hours, 9 minutes",John Lee Hancock,2009,"Sandra Bullock, Tim McGraw","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
3206,The Mark Of Zorro    ,"1 hour, 33 minutes",Rouben Mamoulian,1940,"Tyrone Power, Linda Darnell",
3207,Red Vacance Black Wedding (English Subtitled)   ,"1 hour, 21 minutes",Tai-sik Kim,2011,"Seon-mok Jo, Ji-hye Ahn","Buy SD $9.99,"
3208,When the Game Stands Tall , 115 minutes ,Thomas Carter,2014,Clancy Brown,$14.99 
3209,2 to Tangle    ,"1 hour, 46 minutes",Caleb Johnson,2014,"Kassy Collins, Clay Doss","Rent HD $5.99,Rent SD $4.99,Buy HD $11.99,Buy SD $10.99,"
3210,College Boys Live    ,"1 hour, 34 minutes",George O'Donnell,2009,"Zac Adams,Jonathan Greer","Buy SD $9.99,"
3211,Oh Christmas Tree! , 89 minutes ,Craig Pryce,2014,Sarah Lancaster,$9.99 
3212,Hombre    ,"1 hour, 51 minutes",Martin Ritt,1967,"Paul Newman, Fredric March","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3213,La Repetition (English Subtitled)   ,"1 hour, 32 minutes",Catherine Corsini,2001,"Emmanuelle Béart, Pascale Bussières","Buy SD $9.99,"
3214,A League of Their Own , 128 minutes ,Penny Marshall,1997,David Strathairn,$5.99 
3215,I'll See You in My Dreams (DVD) , 97 minutes ,Brett Haley,2015,,$19.44 
3216,The Monuments Men , 118 minutes ,George Clooney,2014,George Clooney,$7.50 
3217,New World Order    ,"1 hour, 26 minutes",Duane McCoy,2013,"Erin Runbeck, Melissa Farley","Buy HD $10.99,Buy SD $9.99,"
3218,The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale,$9.99 
3219,The Notebook (2004) , 124 minutes ,Nick Cassavetes,2008,James Garner,$5.00 
3220,A Beautiful Mind    ,"2 hours, 16 minutes",Ron Howard,2001,"Russell Crowe, Ed Harris","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3221,Danny Collins    ,"1 hour, 48 minutes",Dan Fogelman,2015,"Al Pacino, Annette Bening","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $9.99,"
3222,Mrs. Doubtfire    ,"2 hours, 6 minutes",Chris Columbus,1993,"Robin Williams, Sally Field","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3223,Injury Slight    ,"1 hour, 21 minutes",Josh Baxter,2007,Charles O'Sullivan,"Buy SD $7.99,"
3224,Late Marriage (English Subtitled)   ,"1 hour, 26 minutes",Dover Koshashvili,2001,"Lior Ashkenazi, Ronit Elkabetz","Buy SD $9.99,"
3225,Vacationland    ,"1 hour, 45 minutes",Todd Verow,2006,"Brad Hallowell, Gregory J. Lucas","Buy SD $9.99,"
3226,Far From the Madding Crowd , 119 minutes ,Thomas Vinterberg,2015,Matthias Schoenaerts,$28.95 
3227,Lovesick    ,"1 hour, 25 minutes",Luke Matheny,2015,"Matt LeBlanc, Ali Larter","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3228,Beauty and the Least    ,"1 hour, 26 minutes",Bryce Clark,2013,"Ben Banks, Katharine Towne","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3229,Dallas Buyers Club    ,"1 hour, 58 minutes",Jean-Marc Vallée,2013,"Matthew McConaughey, Jennifer Garner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3230,Turning Point    ,"1 hour, 43 minutes",Niyi Towolawi,2015,"Jackie Appiah, Igoni Archibong","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
3231,The Shawshank Redemption    ,"2 hours, 23 minutes",Frank Darabont,1994,"Tim Robbins, Morgan Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3232,Fast & Furious 6-Movie Collection [Blu-ray] , 952 minutes ,Rob Cohen,2014,Vin Diesel,$36.59 
3233,The Babadook    ,"1 hour, 34 minutes",Jennifer Kent,2014,"Essie Davis, Noah Wiseman","Rent HD $4.99,Rent SD $3.99,Buy HD $7.99,Buy SD $7.99,"
3234,The Wire: The Complete Series , 3645 minutes ,Various,2011,Various,$119.99 
3235,True Love    ,"1 hour, 13 minutes",Michael J. Saul,2005,"John Ainsworth, Charlotte Ann","Buy SD $9.99,"
3236,The Book Thief    ,"2 hours, 10 minutes",Brian Percival,2013,"Roger Allam, Sophie Nélisse","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3237,You Don't Know Jack    ,"2 hours, 15 minutes",Barry Levinson,2010,"Al Pacino, Brenda Vaccaro","Buy HD $19.99,Buy SD $14.99,"
3238,Where Hope Grows [DVD + Digital] , 98 minutes ,Chris Dowling,2015,Danica McKellar,$12.96 
3239,The Judge (2014)   ,"2 hours, 22 minutes",David Dobkin,2014,"Robert Downey Jr., Robert Duvall","Buy HD $17.99,Buy SD $9.99,"
3240,The Bishop's Wife , 109 minutes ,Various,2013,Various,$9.79 
3241,Lost Christmas    ,"1 hour, 37 minutes",John Hay,2014,"Eddie Izzard, Larry Mills","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $4.99,"
3242,Bullhead (English Subtitled)   ,"2 hours, 9 minutes",Michaël R. Roskam,2012,"Matthias Schoenaerts, Jeroen Perceval","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3243,The Hobbit: An Unexpected Journey (Extended Edition)    ,"3 hours, 3 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman","Buy HD $14.99,Buy SD $14.99,"
3244,Grease , 111 minutes ,Randal Kleiser,2006,John Travolta,$3.74 
3245,It Happened One Night    ,"1 hour, 46 minutes",Frank Capra,1934,"Clark Gable, Claudette Colbert","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3246,The Lucky One    ,"1 hour, 41 minutes",Scott Hicks,2012,"Zac Efron, Taylor Schilling","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3247,The Outsiders    ,"1 hour, 32 minutes",Francis Ford Coppola,1983,"C. Thomas Howell, Matt Dillon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3248,Pride & Prejudice , 129 minutes ,Joe Wright (IV),2006,Keira Knightley,$5.09 
3249,Bloomington    ,"1 hour, 23 minutes",Fernanda Cardoso,2010,"Allison McAtee, Sarah Stouffer","Rent SD $1.99,Buy SD $4.99,"
3250,Little Shop of Horrors , 94 minutes ,Frank Oz,2009,Rick Moranis,$9.14 
3251,Saving Private Ryan (Sapphire Series)  [Blu-ray] , 169 minutes ,Steven Spielberg,2010,Tom Hanks,$14.96 
3252,Bathory: Countess of Blood    ,"2 hours, 21 minutes",Juraj Jakubisko,2008,"Anna Friel, Karel Roden","Rent SD $1.99,Buy HD $4.99,Buy SD $3.99,"
3253,Eat Pray Love    ,"2 hours, 21 minutes",Ryan Murphy,2010,"Julia Roberts, I. Gusti Ayu Puspawati","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3254,Rocky: Heavyweight Collection (Rocky / Rocky II / Rocky III / Rocky IV / Rocky V / Rocky Balboa) [Blu-ray] , 635 minutes ,Sylvester Stallone,2014,Sylvester Stallone,$31.76 
3255,St. Vincent , 102 minutes ,Theodore Melfi,2015,Bill Murray,$9.99 
3256,Saving Private Ryan    ,"2 hours, 50 minutes",Steven Spielberg,1998,"Tom Hanks, Tom Sizemore","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3257,Apollo 13    ,"2 hours, 21 minutes",Ron Howard,1995,"Tom Hanks, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3258,Now You See Me    ,"1 hour, 56 minutes",Louis Leterrier,2013,"Jesse Eisenberg, Mark Ruffalo","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $14.99,"
3259,Jupiter Ascending , 127 minutes ,Lana Wachowski,2015,Channing Tatum,$10.92 
3260,Expecting    ,"1 hour, 28 minutes",Jessie McCormack,2013,"Michelle Monaghan, Radha Mitchell","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3261,Diary of a Tired Black Man    ,"1 hour, 48 minutes",Tim Alexander,2009,"Jimmy Jean-Louis, Paula Lema","Buy SD $9.99,"
3262,Take This Waltz    ,"1 hour, 56 minutes",Sarah Polley,2012,"Michelle Williams, Seth Rogen","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3263,Whiplash [Blu-ray] , 107 minutes ,Damien Chazelle,2015,J.K. Simmons,$14.99 
3264,The Girlfriend Experience    ,"1 hour, 18 minutes",Steven Soderbergh,2009,"Sasha Grey, Chris Santos","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3265,Still Alice    ,"1 hour, 42 minutes",Richard Glatzer,2015,"Julianne Moore, Kate Bosworth","Buy HD $14.99,Buy SD $12.99,"
3266,Insidious , 103 minutes ,James Wan,2011,Patrick Wilson,$4.99 
3267,The Congress    ,"2 hours, 3 minutes",Ari Folman,2013,"Robin Wright, Harvey Keitel","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3268,Remember The Titans    ,"1 hour, 54 minutes",Boaz Yakin,2000,"Denzel Washington, Will Patton","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3269,The Garden Of Earthly Delights    ,"1 hour, 44 minutes",Lech Majewski,2004,"Claudine Spiteri, Chris Nightingale","Buy SD $12.99,"
3270,The Twilight Saga:  New Moon    ,"2 hours, 11 minutes",Chris Weitz,2009,"Kristen Stewart, Christina Jastrzembska","Buy HD $14.99,Buy SD $13.99,"
3271,Low Down    ,"1 hour, 55 minutes",Jeff Preiss,2014,"John Hawkes, Elle Fanning","Rent HD $0.99,Rent SD $0.99,Buy HD $9.99,Buy SD $7.99,"
3272,Dracula Untold (Blu-ray + DVD + DIGITAL HD with UltraViolet) , 93 minutes ,Gary Shore,2015,Luke Evans,$12.99 
3273,Bad News Bears Go To Japan    ,"1 hour, 33 minutes",John Berry,1978,"Tony Curtis, Jackie Earle Haley","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3274,Gloria,"2 hours, 8 minutes",Christian Keller,2015,"Sofia Espinosa,Marco Perez","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
3275,KGB Connections    ,"2 hours, 11 minutes",Martyn Burke,2011,"Harold Brown, Nikita Khrushchev","Buy SD $4.99,"
3276,The Theory of Everything , 124 minutes ,James Marsh,2015,Eddie Redmayne,$7.77 
3277,Asylum    ,"1 hour, 40 minutes",David Mackenzie,2005,"Natasha Richardson, Hugh Bonneville","Rent SD $2.99,Buy SD $9.99,"
3278,From the Head    ,"1 hour, 33 minutes",George Griffith,2012,"George Griffith, Matthew Lillard","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3279,The End of the Tour [DVD + Digital] , 106 minutes ,James Ponsoldt,2015,Jesse Eisenberg,$12.99 
3280,Camembert Rose (English Subtitled)   ,"1 hour, 31 minutes",Barnabás Tóth,2009,"Barnabás Tóth, Zoltán Bezerédy","Buy SD $9.99,"
3281,The Wedding Ringer    ,"1 hour, 42 minutes",Jeremy Garelick,2015,"Kevin Hart, Josh Gad","Buy HD $14.99,Buy SD $12.99,"
3282,The Last Dragon [Blu-ray] , 108 minutes ,Michael Schultz,2015,Faith Prince,$9.99 
3283,Melo (English Subtitled)   ,"2 hours, 1 minute",Roy Lee,2012,"Kim Hye-na,Lee Sun-ho","Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
3284,Gradiva (English Subtitled)   ,"1 hour, 54 minutes",Alain Robbe-Grillet,2007,"James Wilby, Arielle Dombasle","Buy SD $9.99,"
3285,Slaughterhouse    ,"1 hour, 26 minutes",Rick Roessler,1987,"Joe Barton,Sherry Bendorff","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3286,A View from a Hill    ,40 minutes,Luke Watson,2005,"Mark Letheren, Pip Torrens","Buy SD $7.99,"
3287,Thor [DVD] , 114 minutes ,Kenneth Branagh,2013,,$14.99 
3288,The Kitchen    ,"1 hour, 20 minutes",Ishai Setton,2012,"Laura Prepon, Bryan Greenberg","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3289,Semper Fight    ,"1 hour, 17 minutes",Antone Anania,2014,"Michael Anderson, Shanna Beauchamp","Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
3290,The Departed    ,"2 hours, 32 minutes",Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3291,Apollo 13 [Blu-ray] , 140 minutes ,Ron Howard,2015,Tom Hanks,$10.00 
3292,Somewhere in Time (Collector's Edition) , 104 minutes ,Jeannot Szwarc,2000,Christopher Reeve,$5.00 
3293,Apocalypse Now Redux    ,"3 hours, 16 minutes",Francis Ford Coppola,1979,"Marlon Brando, Martin Sheen","Rent HD $3.99,Rent SD $2.99,Buy HD $18.99,Buy SD $17.99,"
3294,Burlesque    ,"2 hours, 0 minutes",Steve Antin,2010,"Cher, Christina Aguilera","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3295,Do You Believe?    ,"2 hours, 0 minutes",Jon Gunn,2015,"Senyo Amoaku, Sean Astin","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3296,Remember the Titans (Widescreen Edition) , 113 minutes ,Boaz Yakin,2001,Denzel Washington,$9.99 
3297,Into The Woods (Theatrical)    ,"2 hours, 5 minutes",Rob Marshall,2014,"Anna Kendrick, Daniel Huttlestone","Buy HD $19.99,Buy SD $14.99,"
3298,Straightman    ,"1 hour, 41 minutes",Ben Berkowitz,1999,"Ben Redgrave, Ben Berkowitz","Buy SD $9.99,"
3299,Lost Paradise (English Subtitled)   ,"1 hour, 28 minutes",Ève Deboise,2012,"Pauline Etienne, Olivier Rabourdin","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3300,Kiki's Delivery Service [Blu-ray] , 105 minutes ,Hayao Miyazaki,2014,Kirsten Dunst,$21.99 
3301,The Hustler    ,"2 hours, 15 minutes",Robert Rossen,1961,"Paul Newman, Jackie Gleason","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3302,You Cast A Spell On Me    ,"1 hour, 27 minutes",Tosca Musk,2015,"Nikki Deloach,Ryan McPartlin","Rent HD $3.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3303,St. Vincent    ,"1 hour, 42 minutes",Theodore Melfi,2014,"Bill Murray, Melissa McCarthy","Buy HD $9.99,Buy SD $9.99,"
3304,Relations (English Subtitled)   ,"1 hour, 20 minutes",Dunya Smirnova,2006,"Mikhail Porechenkov,Anna Mikhalkova","Buy SD $6.99,"
3305,Convict    ,"1 hour, 42 minutes",David Field,2015,"David Field,George Basha","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
3306,Army of Darkness    ,"1 hour, 22 minutes",Sam Raimi,1993,"Bruce Campbell, Embeth Davidtz","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3307,Elizabeth's Gift    ,"1 hour, 26 minutes",Rob Diamond,2015,"Kari Hawker,Paul Hunt","Rent SD $3.99,Buy SD $9.99,"
3308,A Little Chaos (DVD) , 113 minutes ,Alan Rickman,2015,Kate Winslet,$10.99 
3309,The Zulu War    ,43 minutes,Bob Carruthers,2014,"Kingsley Glover,Amy - Louise James","Buy SD $9.99,"
3310,Raising Jeffrey Dahmer    ,"1 hour, 26 minutes",Rich Ambler,2006,"Bo Svenson, Scott Cordes","Buy SD $5.99,"
3311,The Red Baron    ,"1 hour, 46 minutes",Nikolai Müllerschön,2008,"Tomás Koutník, Tomás Ibl","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3312,American Hustle    ,"2 hours, 19 minutes",David O. Russell,2013,"Christian Bale, Bradley Cooper","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
