Brand_A,Title_A,Price_A,Description_A,Model_Number_A,Ship_Weight_A,Dimensions_A,Brand_B,Title_B,Price_B,Description_B,Model_Number_B,Ship_Weight_B,Dimensions_B,Gold
JVC,JVC Lightweight Folding Headphones with Bass Boost Black,49.95,Get superior sound quality from your MP3 player with JVC Lightweight Folding Headphones with Bass Boost. These folding headphones are designed to allow sound pressure in the headphone housing to be equalized for superior performance. JVC Lightweight Folding Headphones with Bass Boost also feature a neodymium driver unit for enhanced audio enjoyment.,HAS600B,0.7,9.0 x 6.0 x 3.0 inches,STM,STM Convoy Medium laptop Backpack DP-0960-3,74.19,,DP-0960-3,5 pounds,19.7 x 13.0 x 5.9 inches,0
Da-Lite,Da-Lite Matte White Deluxe Model B Manual Screen - 60 x 60 AV Format,118.99,,40223,21.0,,Keyspan,Keyspan by Tripp Lite PR-US2 Presentation Remote Wireless w Laser Mouse,47.84,The perfect tool for PowerPoint and Keynote this RF remote works from up to 40 feet away and includes a laser pointer and full mouse control. There is no software to install. Just plug it into a PC or Mac and it works within seconds. Remote control uses one CR2450 Lithium 3V battery included .,PR-US2,1 pounds,3.9 x 2.4 x 1.2 inches,0
Maxell,Maxell Juicy Tunes Earbuds Green,9.88,The Maxell Juicy Tunes Earbuds are ideal for home and travel use. They are easy to adjust for extended use when on the go.,190242 JT-PU,1.2,6.5 x 3.4 x 1.25 inches,Mead,MEA45388 - Notebook College Ruled 200 Sheets 5-1 2x4 Assorted,1.49,,,6.2 ounces,,0
V7,V7 25 CAT5e Snagless Network Patch Cable Yellow,6.88,V7 25 CAT5e Snagless Network Patch Cables are designed to connect your computer with 10 100Base-T networks via cable modems DSL routers hubs patch panels and other network equipment. The patch cables are used to access high-speed networks and the Internet as well as carry many other signals such as telephone and video. The cables feature snagless molded connector boots to provide strain relief and ensure a durable and solid connection.,V7N3C5E-25F-YLWS,0.3,10.0 x 8.0 x 1.0 inches,Wagan,Wagan EL2402 SmartAC 200W Power Inverter with USB Port,32.18,,EL2402,9.6 ounces,6.0 x 4.0 x 2.0 inches,0
INNOVERA,Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack,5.28,The Innovera CD DVD Pocket with Built-In Label Tab is a space-saving polypropylene pocket that features built-in tab for adhesive labels included . The tuck-in flap keeps CDs secure.,39701,0.386,,Young Micro,Nylon Hard Shell Carrying Case Red for Casio EX-Z550 14.1MP Digital Camera Red,9.91,,EX-Z550,12 ounces,,0
MICRONET,Micronet MDE1000 1TB Fantom G-Force MegaDisk USB 2.0 eSATA Raid Sub System,159.0,Fantom Drives G-Force MegaDisk is the latest storage innovation offering double the capacity of existing hard drives in a compact heat dissipating aluminum enclosure featuring both an eSATA port for maximum throughput and a USB 2.0 port for universal compatibility.,MDE1000,5.96,10.5 x 6.4 x 6.1 inches,Brother,Brother TC-60 TC Series Tape Cartridge for P-Touch Labelers 4-Pack,47.99,,TC-60,1 pounds,,0
Pioneer,Pioneer DEH-44HD iPod HD,0.0,This Pioneer DEH-44HD iPod HD features a 12-character LCD display and built-in HD radio tuner. This receiver is easy to use with its remote control. This item features a detachable faceplate.,DEH-44HD,,9.996 x 9.504 x 4.5 inches,Gomadic,Deluxe Kit for the Cricket Crosswave WiFi Hotspot includes a USB cable with Car and Wall Charger - uses Gomadic TipExchange Technology,44.95,,,6.4 ounces,,0
,Quality Park Double Window Security Tinted Invoice   Check Envelope White,72.94,Quality Park Double Window Security Tinted Invoice   Check Envelopes add a professional touch to your mailing. Recipients won t even need to open the letter to know that you mean business.,24532B,12.0,,Sanus,Sanus Systems MA4A-B1 Vesa Adapter Plate,,,MA4A-E1,4 pounds,12.8 x 5.2 x 1.2 inches,0
Dymo,DYMO Black Embossing Tape 3-pack,6.82,DYMO Black Embossing Tape adheres to most surfaces. DYMO Black Embossing Tape is resistant to water weather corrosion abrasion and most chemicals.,1741670,0.09,4.13 x 3.5 x 2.0 inches,Zebra,New-Zebra 21410 - Lunar Wide Barrel Ballpoint Retractable Pen Black Ink Medium Dozen - ZEB21410,18.55,,,1 pounds,,0
Draper,Draper AT1200 Targa Acoustically Transparent Screen - 132 diagonal Widescreen Format,3702.95,,116114,73.0,,iLuv,iLuv Charge-Sync Cable for Samsung Galaxy Tab - Black iCB60BLK,12.62,,iCB60BLK,1 pounds,7.5 x 4.5 x 1.5 inches,0
Acer,Acer Black Veriton PS.VAL03.052 Desktop PC with Intel Dual-Core E7600 Processor 320GB Hard Drive and Windows 7 Professional Monitor Not Included,499.0,Fuelled by top-notch components and technologies the Veriton M Series gives you the resources to handle challenging office tasks and oversee company assets. In addition innovative Acer engineering enables modular and tool-less accessibility to your machine while energy-efficient certifications mean cost savings as well as care for the environment.,PS.VAL03.052,26.0,17.46 x 14.84 x 7.09 inches,Ambir Technology,PS667AS - Ambir PS667 Simplex A6 ID Card Scanner 48 bit Color - 24 bit Grayscale - 600 dpi Optical,44.39,,,2 pounds,9.2 x 5.6 x 2.9 inches,0
PREMIERTEK,Premiertek PowerLink Wireless 802.11b g n High Power USB 2.0 Adapter,31.88,The Premiertek PowerLink Wireless 802.11b g n High Power USB 2.0 Adapter is a powerful 80211b g n WLAN USB adapter with 9dBi omni-directional antenna. Unlike other the 2dBi omni-direction antenna the advantage of 9dBi omni-directional antenna and 1W high power output together can help the user to reach more wireless network that can t ever be reached before with other wireless adapter. The adapter provides powerful and stable performance to PC and NB linked into unlimited wireless network world. Upgrade your networking today and enjoy the faster speed Internet experience.,PT-H9DN,0.35,16.0 x 6.0 x 1.75 inches,Adesso,Adesso Carrying Case for iPad Black,15.96,,ACS-100FB,1 pounds,,0
Inland,Inland Pro 6-Sheet Paper Shredder,28.54,The Inland Pro 6-Sheet Paper Shredder shreds up to six sheets of paper at one time. It is perfect for destroying personal financial and confidential papers. The Inland Pro 6-Sheet Paper Shredder features a top-mounted forward reverse switch.,05301,5.0,14.7 x 12.13 x 7.09 inches,Pelouze,Pelouze 4060 Heavy-Duty Electronic Utility Scale with PC Interface 400-lb. Capacity,139.68,,4060,11 pounds,12.5 x 12.0 x 2.5 inches,0
HON,HON 600 Series Two-Drawer Lateral File Black,449.94,Keep your documents and records accessible and organized with the HON 600 Series Two-Drawer Lateral File. An excellent choice for the small office or home office setting this two-drawer lateral file is the perfect filing solution.,682LP,132.0,36.0 x 28.375 x 19.25 inches,Ematic,Ematic EA103 Universal eBook Reader Accessory Kit,11.41,,EA103,1 pounds,8.5 x 7.1 x 1.6 inches,0
Sony,Sony Premium EX Earbuds MDREX57LP BLK,39.99,Upgrade your music listening experience with the Sony Premium EX Earbuds. A pleasure to wear these lightweight earbuds feature an angled design and come with three sizes of soft silicone earbuds to ensure the perfect fit and supreme comfort. Your music will also sound amazing thanks to the 9mm driver units which deliver deep full bass performance. Additional features include a gold-plated L type stereo mini plug cord adjuster extension cord and supplied carrying pouch.,MDREX57LP/BLK,1.0,7.0 x 2.5 x 1.5 inches,Imation,Imation Defender H200 Biometrics 2.5INCH External Hard Drive 500GB Fips 140-2,377.7,,27820,2 pounds,,0
LaCie,LaCie FireWire 800 ExpressCard 34,45.0,Affordably upgrade your Mac or PC laptop to fast FireWire 800 connectivity which offers a rapid maximum interface transfer rate of up to 800Mbs s. Just plug the card into your computer s ExpressCard 34 or 54 slot and you ll have two external ports for connecting up to two FireWire devices simultaneously. It s backward compatible with FireWire 400 and perfect for connecting your laptop to your favorite peripherals such as LaCie hard disks CD DVD drives cameras scanners printers etc. It s easy to install and use since it supports hardware hot plugging unplugging.,LAC130992,0.26,8.2 x 6.8 x 1.1 inches,Shopforbattery,Optoma BL-FP230C replacement projector lamp bulb with housing - high quality replacement lamp,182.99,,,3 pounds,,0
,Tyvek Expansion Mailer,84.94,DuPont Tyvek Expansion Mailer is featherweight but still delivers heavyweight protection. Expandable design is ideal for shipping bulky contents such as books binders and reports. Flap-Stik closure provides a secure peel-and-press seal.,R4500,4.0,,Vantec,Vantec UGT-ST200 2-Port SATA PCI Host Card,24.54,,UGT-ST200,1 pounds,8.5 x 6.0 x 2.0 inches,0
BenQ,BenQ MS510 3D-Ready DLP Projector,599.0,The best value choice for small-medium space. The MS510 makes the perfect projector choice for your everyday life whether its business education even at home. Featuring an impressive brightness of 2700 ANSI lumens a high contrast ratio of 4200 1 and a SVGA resolution the MS510 offers a stunning full-screen presentation with the finest details regardless of the ambient light level.,MS510,7.35,13.0 x 11.8 x 7.7 inches,Gear Head,Quick 8.0MP WebCam with Auto Focus Black,,,WC4750AFB,1 pounds,8.0 x 4.5 x 4.0 inches,0
ViewSonic,ViewSonic PJD7583w 3D-Ready LCD Projector,949.0,The PJD7583w is a feature-rich WXGA ultra short throw 3D-ready DLP projector. With its ultra-short throw lens it can project a large 95  image from just 3 away. The PJD7583w is equipped with the latest BrilliantColor technology to produce vivid colors while 3000 lumens and 3000 1 dynamic contrast ratio make your images look great in any lighting situation. Multiple display options such as dual RGB ports RJ45 network display USB plug-n-play PC-less presentation and Wi-Fi with optional adapter provide ultimate flexibility. With its advance management software multiple projectors can be displayed and controlled over the network from a single computer.,PJD7583W,12.1,15.4 x 15.0 x 8.3 inches,BOSS,Boss EQ1208 4 Band Pre-amp Equalizer with Subwoofer Output Master Volume Control,32.6,,EQ1208,2 pounds,9.2 x 7.7 x 1.9 inches,0
LaCie,LaCie FireWire 800 ExpressCard 34,45.0,Affordably upgrade your Mac or PC laptop to fast FireWire 800 connectivity which offers a rapid maximum interface transfer rate of up to 800Mbs s. Just plug the card into your computer s ExpressCard 34 or 54 slot and you ll have two external ports for connecting up to two FireWire devices simultaneously. It s backward compatible with FireWire 400 and perfect for connecting your laptop to your favorite peripherals such as LaCie hard disks CD DVD drives cameras scanners printers etc. It s easy to install and use since it supports hardware hot plugging unplugging.,LAC130992,0.26,8.2 x 6.8 x 1.1 inches,Sony,Sony 2 GB Memory Stick PRO Duo Flash Memory Card MSMT2G,10.56,,MSMT2G,1 pounds,7.0 x 5.0 x 0.4 inches,0
Avery,Avery Address Inkjet Label Clear 750ct,0.0,Ensure packages arrive to their recipients with these labels. Create custom labels for your mailing needs with convenience using free templates from avery.com. Then print professional-looking labels from your printer in minutes. Avery offers the Pop-up Edge for fast peeling just bend the patented Easy Peel label sheet to expose the label edge peel then fold the sheet back to flat in a jiffy. When it comes to smudge-free and jam-free results these labels soar above the rest.,58660,,12.0 x 1.0 x 1.0 inches,Jabra,Gn 2025 Ip for Microsoft Oc Duo Nc Wideband Oc Optimized,73.36,,2089-820-105,1 pounds,7.2 x 5.5 x 2.5 inches,0
Sage,Sage Peachtree Pro Accounting with Payroll 2012 PC,318.0,You need tools to help you control cash flow and manage employees for your expanding business. Sage Peachtree Pro Accounting with Payroll 2012 provides easy-to-use accounting features that do the basics and more along with tools to run your payroll in-house for one full year. Automatically calculate deductions earnings and taxes print paychecks from your PC and manage benefits. Automate invoices and checks track sales and inventory create budgets and more with standard accounting tools.,PRO2012PRRT,0.5,8.0 x 5.5 x 2.5 inches,RCA,RCA ANT1600R Flat Digital Passive Indoor TV Antenna,31.38,,ANT1600R,3 pounds,11.0 x 10.0 x 0.8 inches,0
Microsoft,Wireless Mobile Mouse 6000 BlueTrack Red,29.88,The Wireless Mobile Mouse 6000 BlueTrack has revolutionary Microsoft BlueTrack Technology so you can work more places than ever before including on granite countertops carpets - even on a wood table or a rough unfinished park bench.,MHC-00019,0.3,7.989 x 5.157 x 1.835 inches,Rocstorage,750GB Rocpro 850 Esata 7200 Rpm 32MB USB FW800 Carrying Case Int,,,G222M2-R1,6 pounds,8.7 x 5.8 x 1.6 inches,0
Logitech,Logitech USB Webcam C270H,29.0,Enjoy widescreen HD 720p video calls on most major IMs and Logitech Vid HD with the Logitech Webcam C270H. Your friends and family will see you in lifelike detail with 3-megapixel photos. You can be heard loud and clear thanks to a built-in microphone that reduces background noise.,C270H,0.9,8.251 x 6.0 x 3.251 inches,Lowrance,LOWRANCE 000-0140-05 HDS7 BASE US 83 200 KHZ FISHFINDER,1150.0,,,11 pounds,,0
Officemate,Officemate Plastic Coated Paper Clips Assorted Colors 800pk,8.88,The Officemate Plastic Coated Paper Clips are in assorted colors that allow documents to be color-coded.,97228,1.12,,Roxio,Roxio Easy CD DVD Burning,18.99,,,1.6 ounces,,0
Dell,Dell 15 Standard Yield Black Cartridge,18.97,The Standard Capacity Black Print Cartridge from Dell  is specifically designed for Dell Printers.,Series 15 Black,0.1,3.74 x 2.68 x 1.42 inches,Oxford,Oxford 40591 - Reinforced Board Card File with Lift-Off Lid Holds 1200 6 x 9 Cards Black White,,,,5.5 pounds,,0
Acme,Acme Smart 15  Laptop Sleeve Wet Black Antik,29.88,The Smart Laptop Sleeve is a great looking laptop sleeve at an even greater looking price. The Sleeve is ultra slender with a designer-styled front panel and a highly water-resistant exterior. But while sexy on the outside it s all business on the inside as the Smart Laptop Sleeve boasts some heavy-duty protection too. From ballistic nylon and premium tricot lining to its closed-cell foam padding this sexy little bag has a lot more going for it than simply good looks.,AM00778-CEU,,15.0 x 13.5 x 1.5 inches,SMK,SMK-Link RemotePoint Presentation Wireless Keyboard and Mouse Suite VP6341,197.78,,VP6341,3 pounds,21.7 x 7.2 x 2.1 inches,0
Peerless,Peerless SmartMount Universal Tilt Mount 23 - 46 Screens,86.99,,ST640,9.0,19.37 x 13.75 x 2.6 inches,Brother,Brother DR360 Drum Unit,64.95,,DR360,2 pounds,14.8 x 8.3 x 4.6 inches,0
Simplism,Simplism Protector Film for iPad,23.41,Protector Film for iPads is completely transparent. Anti-glare film allows you to view your iPad anywhere. It does not affect the brightness and the contrast of display and keeps a clear view. The PET material film with adequate thickness makes it easier to apply.,TRPFSIPADAGEN,0.2,12.0 x 12.0 x 9.0 inches,Q-See,Q-See QSSIGD2 Decoy Cameras and Warning Sign 2 Pack,29.99,,QSSIGD2,4 pounds,18.0 x 14.0 x 12.0 inches,0
,Post-it Pop-up Notes Super Sticky Super Sticky Pop-Up Notes 3 x 3 Tropical 10 90-Sheet Pads Pack,15.94,The Post-it Super Sticky Pop-Up Notes hold stronger and longer making them ideal for vertical and hard-to-stick surfaces.,R33010SST,0.91,,Targus,Targus Truss Leather Case and Stand for Motorola Xoom WiFi 3G - THZ06902US Black Gray,86.69,,,1.6 pounds,,0
,Centon 8GB DataStick Pro USB Flash Drive 2-Pack Bundle,24.0,,,,,Avery,Avery Marks-A-Lot Dry Erase Markers Black Blue Green and Red Pack of 4 24409,3.99,,24409,3.2 ounces,6.1 x 5.1 x 0.8 inches,0
Imation,Imation 26654 Swivel 8GB USB2.0  Flash Drive,25.84,The Imation 26654 Swivel 8GB USB 2.0 Flash Drive is a compact powerful flash drive featuring a unique swivel cap design and an ultra-fast USB 2.0 connection. The speed saves valuable time when transferring sharing or storing critical data large business presentations digital media and other large files. Plug-and-play format enables you to drag and drop files and transfer data on any computer with a USB 1.1 or 2.0 port. Flash drive offers 100 000 write cycles and includes a USB extension cable and neck strap.,26654,0.12,2.17 x 0.67 x 0.55 inches,ION Audio,SLIDES 2 PC Scanner,99.95,,,6 pounds,,0
